reference	25_10_DAC	25_10_FSB	25_10_FSP	25_10_LLN	25_10_MPT	25_10_PPT	25_10_SSH	25_10_TCR	25_11_DAC	25_11_FSB	25_11_FSP	25_11_LLN	25_11_MPT	25_11_PPT	25_11_SSH	25_11_TCR	25_12_DAC	25_12_FSB	25_12_FSP	25_12_LLN	25_12_MPT	25_12_PPT	25_12_SSH	25_12_TCR	26_01_DAC	26_01_FSB	26_01_FSP	26_01_LLN	26_01_MPT	26_01_PPT	26_01_SSH	26_01_TCR
AXG51384.1	0.0	0.0	0.0	6.214905438908617e-08	3.480056893640524e-08	0.0	0.0	0.0	0.0	7.219671586452908e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.00897016061091e-08	0.0	0.0	1.1351537585290572e-07	0.0	6.533982606472961e-08	0.0	0.0	0.0	0.0	2.5143561880977294e-07	0.0	0.0	1.100907763404485e-07	1.3530118259728047e-07
BAB77563.1	6.009274775213134e-05	1.2324891029475964e-05	3.3150257608502095e-05	4.414163284314051e-05	2.839451369167528e-05	6.029484832667945e-05	4.4914987722194206e-05	7.314492697464348e-05	3.3332848749948225e-05	4.105388096552263e-05	5.632780028863746e-06	3.439983838218789e-05	2.6393398069171626e-05	4.459410270934265e-05	3.683388300726711e-05	5.179850478759822e-05	5.405853425599971e-05	3.3220209519370505e-05	7.90526868964367e-05	7.342072016177064e-05	2.6833708555139284e-05	5.832821222332438e-05	3.099790954511048e-05	4.510501373818317e-05	9.980885966296715e-05	7.387449664919135e-05	5.545232017181052e-05	9.531742860693785e-05	5.5679638889614166e-05	9.951947117230745e-05	6.691930262459304e-05	7.074717506529964e-05
BAE94252.1	2.8094762724232994e-05	3.7445317525623273e-06	7.694570639379453e-06	2.2876780707872142e-05	6.241665199633419e-06	2.651836901423215e-05	2.1497140505194923e-05	2.8912910162991714e-05	1.063581029192427e-05	1.381462784040041e-05	1.2128783101946894e-06	1.7003409306068818e-05	6.9695815228030345e-06	1.703117753561481e-05	1.7512932555461036e-05	2.270587686735277e-05	1.930787046507796e-05	1.1905272130710363e-05	3.087522488796068e-05	2.717457380099001e-05	7.646679505891361e-06	2.6270478386728608e-05	1.4205931361300237e-05	2.1888304104241515e-05	3.4828318344598376e-05	2.2982501712491025e-05	1.1657173454611528e-05	3.1462535985275536e-05	1.1012802559516549e-05	3.654771045969111e-05	1.9400964345022528e-05	2.1304150353236922e-05
BAI96793.1	0.00022573241479319155	7.637033277699066e-05	0.0001613893067837663	0.00013943959207975663	0.00017848377064105738	0.00021756024079657164	0.00022041100436353037	0.000262342304441874	0.00013458737726675682	0.00022035852347232704	2.8781707241778143e-05	0.00012687067565252594	0.00016099792182383815	0.0001964427712423929	0.00019143881047328152	0.0001845365902456272	0.00020663705809303222	0.00011094426569375497	0.00035268292958191556	0.0002824555464405426	0.00018512501671814573	0.00026619749370926176	0.00012168725856730083	0.00013762619733670496	0.0003309734103366587	0.0002752246159686079	0.00022901864098642005	0.00023615325996515597	0.0002954530211737764	0.0003331018029668377	0.00025089390385349457	0.00023937521792998052
BAL41322.1	2.4140984815355597e-05	3.474911749620933e-06	1.3637588436446322e-05	1.7067099791244676e-05	8.0510486140507e-06	1.2680846818144372e-05	1.5149393514494545e-05	2.3576564730040904e-05	1.262206402860817e-05	2.014509588184292e-05	2.2473321490421692e-06	1.3734525603572751e-05	7.976676345910018e-06	1.0354216354771322e-05	1.7630218241395197e-05	2.1548662180578363e-05	1.4630729459494621e-05	4.483545381816271e-06	2.331571456474688e-05	2.2150207098934708e-05	7.858425997206394e-06	9.790610081170603e-06	8.596646252131963e-06	1.289588286182419e-05	2.501698745253486e-05	1.2600077361979939e-05	2.3494316633743055e-05	2.6087320923724288e-05	1.6871513296222507e-05	1.8433793533834492e-05	1.6137038530883235e-05	2.3177582527486224e-05
CAA12246.1	3.088253140013888e-05	1.56944007559874e-05	1.3986261204251528e-05	3.57371516005708e-05	2.1208383934142905e-05	3.7863345671392484e-05	4.1649940815434104e-05	4.4841542509462e-05	2.460685855351098e-05	3.5881907700786975e-05	1.8724877516920803e-06	2.8811174162739483e-05	2.8037032647206193e-05	3.974956999069552e-05	2.4971021267023033e-05	2.9422610550122342e-05	4.565340496836081e-05	2.7391354793758418e-05	4.4545585524454864e-05	6.277449612948966e-05	3.0461191137011826e-05	5.3286339265741156e-05	2.540921480227657e-05	4.032637271841005e-05	7.361294371678876e-05	5.65905846182347e-05	1.9412283241330258e-05	6.271369575979728e-05	5.170719014629747e-05	8.40100377169771e-05	6.65511544231074e-05	6.20083222150583e-05
CAD15064.1	2.4763474475256553e-05	2.8005866516565974e-06	1.0629655456913395e-05	2.513607789412385e-05	2.995698975124781e-06	1.785104002066905e-05	1.701463099462315e-05	2.504138088190735e-05	9.40973399851845e-06	1.681950085087931e-05	1.1591842550375555e-06	1.9198324211025924e-05	4.494929462712948e-06	1.4162530921525845e-05	1.5257965817762273e-05	1.8976021992319254e-05	7.64092999196559e-06	6.773689315748999e-06	2.878217011530575e-05	2.3837413795176264e-05	5.614803207165665e-06	1.0355781701962752e-05	1.1115233816308842e-05	8.654434798460959e-06	2.095400234230231e-05	2.0076668162635838e-05	1.8600452363001466e-05	3.487097738368038e-05	1.0685230385464068e-05	2.1458953418578763e-05	1.6095556218498588e-05	1.996625554914006e-05
DeHa4	1.53762498444902e-05	2.737554781416647e-06	9.217578678078332e-06	1.175507931066639e-05	8.016427056397404e-06	1.359404391192324e-05	1.2938681614133427e-05	2.0283518514344957e-05	7.5128672602225155e-06	1.2320489890141662e-05	1.2655564572645315e-06	9.68263308034351e-06	7.448740252495742e-06	1.272243518472423e-05	1.151630572015849e-05	1.4855960591846976e-05	1.7376795456296268e-05	8.540048541762902e-06	2.4139187180273336e-05	2.0609739132226936e-05	7.820603980927324e-06	1.8908890292843095e-05	9.458811020550476e-06	1.4547079715231237e-05	2.4031991386934288e-05	2.0751038298355147e-05	1.1681835617393731e-05	1.7136594599980072e-05	1.499310402402986e-05	2.5904271573907115e-05	1.558811999129857e-05	1.615541220605728e-05
MCD2262844.1	9.741516499438356e-06	1.7863866130509522e-06	5.582695642891058e-06	9.027780540184585e-06	4.423243673692597e-06	1.0487717731905037e-05	1.0729459693771904e-05	1.1415044745690465e-05	4.844043417104822e-06	8.411692780607593e-06	9.206475971930798e-07	8.070342240638799e-06	4.345592297929099e-06	9.425981863539585e-06	8.786257738686591e-06	8.30183489619483e-06	4.230777465718418e-06	3.1141236886058614e-06	1.0774084722311502e-05	1.1067282350241196e-05	4.362783309271725e-06	4.088121725533956e-06	4.498467690905144e-06	6.811703706143831e-06	1.1602216094067152e-05	1.0154437449616622e-05	1.0423894212079685e-05	1.3220772877822225e-05	9.941999169763778e-06	9.128705488269027e-06	9.661713669668192e-06	8.291476051432867e-06
O87872.1	5.628441587638323e-05	3.763988459826468e-05	1.1158733330334422e-05	8.147015683355319e-05	2.8940134665674317e-05	0.00010356328561609527	9.557278196296012e-05	8.15671504588388e-05	5.117643272375108e-05	4.8261685274799204e-05	1.4718775365043519e-06	6.610506077704425e-05	3.587162267190699e-05	9.234806487447156e-05	4.540770627366053e-05	5.257301186349418e-05	0.00010470033301811312	6.699794523213556e-05	7.928037844111955e-05	0.00013033701073674017	4.0814107120850634e-05	0.00014627910449667043	6.208323367280318e-05	9.295952342962259e-05	0.00016959901765451466	0.00011606452541358115	1.3770404826315306e-05	0.00013446270021081152	6.744998720721171e-05	0.00020404123062918794	0.0001697728259078442	0.0001105823384260065
