reference	25_10_DAC	25_10_FSB	25_10_FSP	25_10_LLN	25_10_MPT	25_10_PPT	25_10_SSH	25_10_TCR	25_11_DAC	25_11_FSB	25_11_FSP	25_11_LLN	25_11_MPT	25_11_PPT	25_11_SSH	25_11_TCR	25_12_DAC	25_12_FSB	25_12_FSP	25_12_LLN	25_12_MPT	25_12_PPT	25_12_SSH	25_12_TCR	26_01_DAC	26_01_FSB	26_01_FSP	26_01_LLN	26_01_MPT	26_01_PPT	26_01_SSH	26_01_TCR
WP_053777000.1	1.2497492239120528e-05	3.075753336004376e-06	9.88643589312252e-06	9.570633192175656e-06	8.77981485445701e-06	2.1811247668310233e-05	1.314664798527988e-05	1.6953079563461825e-05	6.982615376399025e-06	1.41635218695319e-05	1.3520902321202256e-06	9.699954427535538e-06	8.768255824069061e-06	1.3206976868537454e-05	9.037131506160716e-06	1.1703504594320742e-05	1.3809688459400114e-05	7.826101369645262e-06	2.473944684336882e-05	2.0769504551856598e-05	1.0451275591575487e-05	2.264813125210573e-05	1.0356362431259645e-05	1.4278237230441835e-05	1.9906898734691966e-05	1.851634670535287e-05	1.2704993035230945e-05	2.2758172024491295e-05	1.9943258523859304e-05	3.592586113387069e-05	1.929803122838074e-05	1.8064980377219844e-05
WP_053777181.1	3.467512297559453e-06	8.461679483330818e-07	3.303287822109657e-06	3.767164128835099e-06	3.3922011937674808e-06	5.391544367447473e-06	4.703326649906164e-06	5.435338485995394e-06	2.896718169248504e-06	4.169220425060538e-06	6.35167969507641e-07	3.1948262598628957e-06	2.865722635183547e-06	3.0015856519403297e-06	3.366057079217757e-06	4.353703709087316e-06	3.935930863121408e-06	1.6488955715919262e-06	6.804562982459009e-06	7.189443883334976e-06	3.7007185813585795e-06	3.793849397560858e-06	2.8901476552352493e-06	3.987615803096368e-06	5.961424220014706e-06	4.6290866763382175e-06	3.649306510119527e-06	1.0400793549654392e-05	6.801839827673868e-06	6.902785545372535e-06	3.2463977767369465e-06	5.098092621792103e-06
WP_053777622.1	2.752225596281807e-06	6.194375284244396e-07	2.019990910510668e-06	1.378066726725877e-06	2.457857798819378e-06	3.685576431115471e-06	1.931655286205921e-06	5.5142937175184585e-06	1.4062551635931787e-06	4.9804511659084985e-06	5.138643446943967e-07	1.7752137174005636e-06	1.9297254540144408e-06	3.0953435457315084e-06	4.255154156348377e-06	3.3324061734523418e-06	2.143155493428691e-06	1.3077293739433147e-06	5.16537347643289e-06	3.159092138143593e-06	2.3305941803996833e-06	2.4205223782365437e-06	2.414695903661575e-06	4.685765151875148e-06	5.229759783685181e-06	6.613537758636318e-06	4.437941185557706e-06	2.4778784817419075e-06	6.024960843382228e-06	4.561349633520723e-06	4.249332841182233e-06	6.778028414206251e-06
WP_053777639.1	3.2974708291214414e-06	4.2649344209022727e-07	2.115509860542568e-06	1.16186860397648e-06	1.980063140253416e-06	2.269727069372992e-06	2.2492275730783878e-06	4.751441500669599e-06	1.9969763961928555e-06	2.4353433219379807e-06	1.7473166076630612e-07	1.6806148147341792e-06	1.7401615404690906e-06	1.7019980180233078e-06	1.633776032178853e-06	3.8092206645761475e-06	3.1649268996160604e-06	1.0256849835688928e-06	3.761951248873766e-06	3.875335563324722e-06	1.956073671491968e-06	2.966100438093035e-06	2.071272486251929e-06	5.78649558722272e-06	3.908499698094807e-06	4.823152233153935e-06	3.755354733490522e-06	3.372138472267993e-06	5.438931966759083e-06	5.915638941156672e-06	2.684521238455552e-06	4.2890474883337905e-06
WP_053778136.1	3.182776191586783e-06	1.0555712691733124e-06	4.993533165324654e-06	2.1216731029135725e-06	1.459589400529661e-06	1.7509323106591652e-06	3.373841359617582e-06	2.773814497688199e-06	1.4160378082094793e-06	8.06304029962117e-06	1.2131369590346394e-06	2.0625727271737657e-06	1.3242204893325763e-06	3.165716313523353e-06	5.010246498681815e-06	2.4527664767026905e-06	1.2120996636827466e-06	1.846232970424007e-06	4.861598537006097e-06	3.48780200699225e-06	9.743461307054332e-07	1.7796602628558208e-06	2.1668696779250946e-06	3.0123815262894746e-06	1.7746701331889935e-06	3.996326136041832e-06	6.679166633136714e-06	3.801319732374829e-06	1.4940680583386395e-06	2.428525460053792e-06	3.7583297338377726e-06	1.5836483033847844e-06
WP_238404007.1	2.1197109690640496e-05	5.12030839524368e-06	9.959585867970129e-06	2.7228892124598707e-05	6.454414773602181e-06	2.5385614802550166e-05	2.7428826695279058e-05	2.855464924444361e-05	1.3737680228897932e-05	1.414172029347622e-05	1.431197600924872e-06	2.743597984189183e-05	8.350494876761394e-06	2.2291093445006755e-05	1.551193124283643e-05	1.8117025112008508e-05	2.006899343649841e-05	1.2793725274793225e-05	2.8074263051296758e-05	4.4910774825449734e-05	1.001117513536892e-05	2.6097256839639462e-05	1.3849702594639763e-05	2.070488390318366e-05	3.394198527655708e-05	2.593601264821796e-05	1.2608263213694056e-05	4.425417001869203e-05	1.3426660320026737e-05	5.074530812052699e-05	3.781568872916941e-05	2.3557753368758733e-05
WP_269074981.1	3.228269965250934e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_275629779.1	4.708906993610455e-05	8.189777088413632e-06	1.2625721979365456e-05	3.678960257268855e-05	1.4777318509773033e-05	4.595358746366008e-05	4.479065253285411e-05	5.293894048509327e-05	1.862383943157914e-05	2.4282608943295195e-05	1.58162279141915e-06	3.058297492016273e-05	1.475258900582711e-05	4.37530869805647e-05	2.8506574906293088e-05	3.18129194274526e-05	2.796885143497832e-05	2.2206332526035882e-05	4.814698879526769e-05	5.29821543120688e-05	1.592093795079019e-05	4.3783418933654474e-05	2.6536461826516755e-05	3.1778776475467575e-05	5.2453304429231336e-05	5.7497676868140505e-05	2.466185851765789e-05	5.4757609048113494e-05	2.2709292175292392e-05	5.845853726787311e-05	4.2767200419533284e-05	4.10701894771485e-05
WP_275630221.1	4.1970795319219145e-06	4.7614248782973854e-07	1.6148930233149372e-06	3.258476503020663e-06	1.3754637081149685e-06	3.7003729211697087e-06	3.6828955299642307e-06	4.0142671642752245e-06	1.3812073616971171e-06	1.8344028149243135e-06	1.9197617036210842e-07	4.131560014709112e-06	1.5162830030525682e-06	2.8713096334591686e-06	2.5940871350626058e-06	1.7978727210390122e-06	3.875840315592837e-06	1.5267829908086573e-06	4.259715790709481e-06	9.614382122752174e-06	2.1975190317783884e-06	8.264325648121815e-06	2.2662777839397693e-06	3.040053810979157e-06	6.499382621548204e-06	4.786334277175661e-06	3.294125914668962e-06	1.0647626682039812e-05	3.576599242373534e-06	7.2608585637740585e-06	3.996043064876585e-06	4.8019870098393585e-06
X79076.1_cbdA	1.0491321985781193e-05	2.0344425080352374e-06	8.481537228903381e-06	5.677349531913122e-06	9.276185199915312e-06	8.29444039637227e-06	7.734440622263101e-06	1.5132533393152614e-05	5.532190720244918e-06	1.3781033333624949e-05	9.473354787629453e-07	8.072865297755382e-06	1.0074042969922556e-05	6.851914601590608e-06	1.04749052557761e-05	1.1766325986723803e-05	9.290591866614888e-06	4.751867757978158e-06	1.53714137050756e-05	8.975208976937535e-06	1.123641102345782e-05	7.941494721345865e-06	6.436534930395779e-06	1.0277343206148893e-05	1.8959801499738018e-05	1.0305690869918776e-05	1.729496606812023e-05	1.1655798277555838e-05	2.2093943613123176e-05	1.475394499925153e-05	9.306340293312579e-06	1.909317914161494e-05
