sample	coverage	taxonomy
26_01_FSP_R1_paired	17.3	Root; d__Archaea
26_01_FSP_R1_paired	21.02	Root; d__Bacteria
26_01_FSP_R1_paired	6.01	Root; d__Archaea; p__Thermoproteota
26_01_FSP_R1_paired	1.55	Root; d__Archaea; p__Asgardarchaeota
26_01_FSP_R1_paired	1.8	Root; d__Archaea; p__Thermoplasmatota
26_01_FSP_R1_paired	0.9	Root; d__Archaea; p__Halobacteriota
26_01_FSP_R1_paired	0.38	Root; d__Archaea; p__Methanobacteriota
26_01_FSP_R1_paired	2.05	Root; d__Bacteria; p__Acidobacteriota
26_01_FSP_R1_paired	1.75	Root; d__Bacteria; p__Pseudomonadota
26_01_FSP_R1_paired	0.88	Root; d__Bacteria; p__Bacteroidota_A
26_01_FSP_R1_paired	0.13	Root; d__Bacteria; p__Verrucomicrobiota
26_01_FSP_R1_paired	4.54	Root; d__Bacteria; p__Planctomycetota
26_01_FSP_R1_paired	0.06	Root; d__Bacteria; p__Gemmatimonadota
26_01_FSP_R1_paired	4.45	Root; d__Bacteria; p__Myxococcota
26_01_FSP_R1_paired	4.43	Root; d__Bacteria; p__Bacillota
26_01_FSP_R1_paired	3.91	Root; d__Bacteria; p__Chloroflexota
26_01_FSP_R1_paired	3.54	Root; d__Bacteria; p__Patescibacteriota
26_01_FSP_R1_paired	6.13	Root; d__Bacteria; p__Desulfobacterota
26_01_FSP_R1_paired	0.44	Root; d__Bacteria; p__Omnitrophota
26_01_FSP_R1_paired	0.74	Root; d__Bacteria; p__Cyanobacteriota
26_01_FSP_R1_paired	0.16	Root; d__Bacteria; p__Bdellovibrionota_B
26_01_FSP_R1_paired	0.4	Root; d__Bacteria; p__Elusimicrobiota
26_01_FSP_R1_paired	0.82	Root; d__Bacteria; p__Nitrospirota
26_01_FSP_R1_paired	1.47	Root; d__Bacteria; p__Bdellovibrionota
26_01_FSP_R1_paired	0.31	Root; d__Bacteria; p__Fibrobacterota
26_01_FSP_R1_paired	0.17	Root; d__Bacteria; p__Nitrospinota
26_01_FSP_R1_paired	0.06	Root; d__Bacteria; p__Zhuqueibacterota
26_01_FSP_R1_paired	0.57	Root; d__Bacteria; p__Marinisomatota
26_01_FSP_R1_paired	1.12	Root; d__Bacteria; p__Armatimonadota
26_01_FSP_R1_paired	0.23	Root; d__Bacteria; p__Campylobacterota
26_01_FSP_R1_paired	1.5	Root; d__Bacteria; p__Spirochaetota
26_01_FSP_R1_paired	0.11	Root; d__Bacteria; p__Vulcanimicrobiota
26_01_FSP_R1_paired	0.23	Root; d__Bacteria; p__Margulisbacteria
26_01_FSP_R1_paired	1.04	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
26_01_FSP_R1_paired	1.39	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
26_01_FSP_R1_paired	0.43	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
26_01_FSP_R1_paired	0.1	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
26_01_FSP_R1_paired	2.5	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
26_01_FSP_R1_paired	0.62	Root; d__Archaea; p__Thermoplasmatota; c__E2
26_01_FSP_R1_paired	0.1	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26
26_01_FSP_R1_paired	0.32	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
26_01_FSP_R1_paired	1.58	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
26_01_FSP_R1_paired	0.05	Root; d__Archaea; p__Halobacteriota; c__Halobacteria
26_01_FSP_R1_paired	1.19	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
26_01_FSP_R1_paired	3.03	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
26_01_FSP_R1_paired	0.37	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
26_01_FSP_R1_paired	1.7	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
26_01_FSP_R1_paired	2.19	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
