sample	coverage	taxonomy
11_25_SSH_R1_paired	0.74	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
11_25_SSH_R1_paired	0.64	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
11_25_SSH_R1_paired	0.76	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
11_25_SSH_R1_paired	0.37	Root; d__Bacteria; p__Planctomycetota; c__J058
11_25_SSH_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
11_25_SSH_R1_paired	0.24	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
11_25_SSH_R1_paired	0.07	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
11_25_SSH_R1_paired	0.54	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
11_25_SSH_R1_paired	0.89	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
11_25_SSH_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
11_25_SSH_R1_paired	0.92	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
11_25_SSH_R1_paired	5.44	Root; d__Bacteria; p__Bacillota; c__Bacilli
11_25_SSH_R1_paired	4.76	Root; d__Bacteria; p__Bacillota; c__Clostridia
11_25_SSH_R1_paired	0.76	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
11_25_SSH_R1_paired	3.59	Root; d__Bacteria; p__Myxococcota; c__Polyangia
11_25_SSH_R1_paired	0.29	Root; d__Bacteria; p__Myxococcota; c__UBA796
11_25_SSH_R1_paired	0.93	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
11_25_SSH_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9
11_25_SSH_R1_paired	0.44	Root; d__Bacteria; p__Myxococcota; c__UBA9042
11_25_SSH_R1_paired	3.24	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
11_25_SSH_R1_paired	0.92	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
11_25_SSH_R1_paired	3.04	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
11_25_SSH_R1_paired	2.54	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
11_25_SSH_R1_paired	1.07	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
11_25_SSH_R1_paired	0.57	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
11_25_SSH_R1_paired	0.88	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
11_25_SSH_R1_paired	0.52	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
11_25_SSH_R1_paired	6.36	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
11_25_SSH_R1_paired	1.37	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
11_25_SSH_R1_paired	0.99	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
11_25_SSH_R1_paired	7.92	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
11_25_SSH_R1_paired	0.68	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
11_25_SSH_R1_paired	0.63	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
11_25_SSH_R1_paired	4.86	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
11_25_SSH_R1_paired	0.54	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
11_25_SSH_R1_paired	0.13	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
11_25_SSH_R1_paired	0.25	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
11_25_SSH_R1_paired	5.17	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
11_25_SSH_R1_paired	0.5	Root; d__Bacteria; p__Spirochaetota; c__Leptospiria
11_25_SSH_R1_paired	1.71	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
11_25_SSH_R1_paired	1.06	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
11_25_SSH_R1_paired	3.93	Root; d__Bacteria; p__Omnitrophota; c__Koll11
11_25_SSH_R1_paired	0.39	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
11_25_SSH_R1_paired	1.83	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
11_25_SSH_R1_paired	0.3	Root; d__Bacteria; p__Cyanobacteriota; c__Sericytochromatia
11_25_SSH_R1_paired	0.88	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
11_25_SSH_R1_paired	0.46	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
11_25_SSH_R1_paired	0.4	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
11_25_SSH_R1_paired	0.4	Root; d__Bacteria; p__Armatimonadota; c__Zipacnadia
11_25_SSH_R1_paired	1.28	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
11_25_SSH_R1_paired	0.99	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
11_25_SSH_R1_paired	1.89	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
11_25_SSH_R1_paired	1.21	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
11_25_SSH_R1_paired	0.34	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
11_25_SSH_R1_paired	0.41	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
11_25_SSH_R1_paired	1.73	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
11_25_SSH_R1_paired	1.37	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
11_25_SSH_R1_paired	0.27	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
11_25_SSH_R1_paired	0.33	Root; d__Bacteria; p__Bdellovibrionota_G; c__JALEGL01
11_25_SSH_R1_paired	0.23	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
11_25_SSH_R1_paired	0.45	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
11_25_SSH_R1_paired	0.35	Root; d__Bacteria; p__Nitrospinota; c__UBA7883
11_25_SSH_R1_paired	0.37	Root; d__Bacteria; p__WOR-3; c__Hydrothermia
11_25_SSH_R1_paired	1.23	Root; d__Bacteria; p__UBA10199; c__UBA10199
11_25_SSH_R1_paired	0.28	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
11_25_SSH_R1_paired	0.53	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
11_25_SSH_R1_paired	0.35	Root; d__Bacteria; p__SAR324; c__SAR324
11_25_SSH_R1_paired	1.28	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
11_25_SSH_R1_paired	0.33	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Bathyarchaeales
11_25_SSH_R1_paired	0.16	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64
11_25_SSH_R1_paired	0.73	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
11_25_SSH_R1_paired	0.44	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Heimdallarchaeales
11_25_SSH_R1_paired	0.38	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Sigynarchaeales
11_25_SSH_R1_paired	12.9	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
11_25_SSH_R1_paired	0.9	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
11_25_SSH_R1_paired	0.36	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
11_25_SSH_R1_paired	0.26	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__B33-G15
11_25_SSH_R1_paired	0.58	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales
11_25_SSH_R1_paired	2.85	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
11_25_SSH_R1_paired	0.27	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales
11_25_SSH_R1_paired	0.43	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
11_25_SSH_R1_paired	0.85	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
11_25_SSH_R1_paired	0.56	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__GW2011-AR5
11_25_SSH_R1_paired	0.23	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA184
11_25_SSH_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2; o__DHVEG-1
11_25_SSH_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2; o__JACPAO01
11_25_SSH_R1_paired	0.37	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__IMC4
11_25_SSH_R1_paired	0.38	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales
11_25_SSH_R1_paired	0.07	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
11_25_SSH_R1_paired	0.65	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Marinacidobacterales
11_25_SSH_R1_paired	1.91	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
11_25_SSH_R1_paired	5.04	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
11_25_SSH_R1_paired	0.22	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales
11_25_SSH_R1_paired	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8
11_25_SSH_R1_paired	0.3	Root; d__Bacteria; p__Acidobacteriota; c__UBA890; o__UBA890
11_25_SSH_R1_paired	3.72	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales
11_25_SSH_R1_paired	0.44	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__JACPZX01
11_25_SSH_R1_paired	0.39	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Gp22-AA2
11_25_SSH_R1_paired	1.41	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01
11_25_SSH_R1_paired	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
11_25_SSH_R1_paired	0.48	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
11_25_SSH_R1_paired	0.94	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales
11_25_SSH_R1_paired	5.87	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
11_25_SSH_R1_paired	7.13	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
11_25_SSH_R1_paired	2.89	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
11_25_SSH_R1_paired	2.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
11_25_SSH_R1_paired	0.49	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__J057
11_25_SSH_R1_paired	0.36	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g
11_25_SSH_R1_paired	0.59	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
11_25_SSH_R1_paired	7.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
11_25_SSH_R1_paired	1.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
11_25_SSH_R1_paired	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
11_25_SSH_R1_paired	3.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
11_25_SSH_R1_paired	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Kiloniellales
11_25_SSH_R1_paired	0.31	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__MPNO01
11_25_SSH_R1_paired	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930
11_25_SSH_R1_paired	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__UBA8366
11_25_SSH_R1_paired	2.31	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
11_25_SSH_R1_paired	1.13	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales
11_25_SSH_R1_paired	2.65	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
11_25_SSH_R1_paired	4.14	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
11_25_SSH_R1_paired	9.71	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
11_25_SSH_R1_paired	1.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nitrococcales
11_25_SSH_R1_paired	2.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales
