sample	coverage	taxonomy
01_26_TCR_R1_paired	8.17	Root; d__Archaea
01_26_TCR_R1_paired	32.14	Root; d__Bacteria
01_26_TCR_R1_paired	3.61	Root; d__Archaea; p__Thermoproteota
01_26_TCR_R1_paired	0.84	Root; d__Archaea; p__Asgardarchaeota
01_26_TCR_R1_paired	0.98	Root; d__Archaea; p__Halobacteriota
01_26_TCR_R1_paired	1.48	Root; d__Archaea; p__Thermoplasmatota
01_26_TCR_R1_paired	0.21	Root; d__Archaea; p__Methanobacteriota
01_26_TCR_R1_paired	0.7	Root; d__Bacteria; p__Chloroflexota
01_26_TCR_R1_paired	0.15	Root; d__Bacteria; p__Omnitrophota
01_26_TCR_R1_paired	5.74	Root; d__Bacteria; p__Desulfobacterota
01_26_TCR_R1_paired	3.97	Root; d__Bacteria; p__Planctomycetota
01_26_TCR_R1_paired	3.9	Root; d__Bacteria; p__Bacillota
01_26_TCR_R1_paired	3.34	Root; d__Bacteria; p__Myxococcota
01_26_TCR_R1_paired	1.35	Root; d__Bacteria; p__Armatimonadota
01_26_TCR_R1_paired	0.59	Root; d__Bacteria; p__Verrucomicrobiota
01_26_TCR_R1_paired	1.53	Root; d__Bacteria; p__Acidobacteriota
01_26_TCR_R1_paired	0.86	Root; d__Bacteria; p__Spirochaetota
01_26_TCR_R1_paired	3.96	Root; d__Bacteria; p__Actinomycetota
01_26_TCR_R1_paired	0.64	Root; d__Bacteria; p__Cyanobacteriota
01_26_TCR_R1_paired	0.95	Root; d__Bacteria; p__Bacteroidota_A
01_26_TCR_R1_paired	0.3	Root; d__Bacteria; p__Gemmatimonadota
01_26_TCR_R1_paired	4.0	Root; d__Bacteria; p__Patescibacteriota
01_26_TCR_R1_paired	0.74	Root; d__Bacteria; p__Latescibacterota
01_26_TCR_R1_paired	0.15	Root; d__Bacteria; p__Campylobacterota
01_26_TCR_R1_paired	1.13	Root; d__Bacteria; p__Nitrospirota
01_26_TCR_R1_paired	1.79	Root; d__Bacteria; p__Bdellovibrionota
01_26_TCR_R1_paired	0.68	Root; d__Bacteria; p__Zhuqueibacterota
