sample	coverage	taxonomy
10_25_LLN_R1_paired	11.22	Root; d__Archaea
10_25_LLN_R1_paired	25.52	Root; d__Bacteria
10_25_LLN_R1_paired	0.8	Root; d__Archaea; p__Asgardarchaeota
10_25_LLN_R1_paired	2.4	Root; d__Archaea; p__Thermoproteota
10_25_LLN_R1_paired	0.82	Root; d__Archaea; p__Halobacteriota
10_25_LLN_R1_paired	3.38	Root; d__Archaea; p__Thermoplasmatota
10_25_LLN_R1_paired	0.37	Root; d__Archaea; p__Methanobacteriota
10_25_LLN_R1_paired	3.74	Root; d__Bacteria; p__Planctomycetota
10_25_LLN_R1_paired	7.55	Root; d__Bacteria; p__Actinomycetota
10_25_LLN_R1_paired	0.59	Root; d__Bacteria; p__Verrucomicrobiota
10_25_LLN_R1_paired	7.38	Root; d__Bacteria; p__Desulfobacterota
10_25_LLN_R1_paired	1.75	Root; d__Bacteria; p__Pseudomonadota
10_25_LLN_R1_paired	3.09	Root; d__Bacteria; p__Chloroflexota
10_25_LLN_R1_paired	3.94	Root; d__Bacteria; p__Myxococcota
10_25_LLN_R1_paired	1.19	Root; d__Bacteria; p__Spirochaetota
10_25_LLN_R1_paired	0.24	Root; d__Bacteria; p__Cyanobacteriota
10_25_LLN_R1_paired	8.72	Root; d__Bacteria; p__Patescibacteriota
10_25_LLN_R1_paired	0.11	Root; d__Bacteria; p__Gemmatimonadota
10_25_LLN_R1_paired	0.66	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_LLN_R1_paired	1.54	Root; d__Bacteria; p__Bdellovibrionota
10_25_LLN_R1_paired	5.0	Root; d__Bacteria; p__Bacillota
10_25_LLN_R1_paired	0.23	Root; d__Bacteria; p__Marinisomatota
10_25_LLN_R1_paired	1.93	Root; d__Bacteria; p__Bacteroidota_A
10_25_LLN_R1_paired	1.48	Root; d__Bacteria; p__Armatimonadota
10_25_LLN_R1_paired	5.38	Root; d__Bacteria; p__Acidobacteriota
10_25_LLN_R1_paired	0.45	Root; d__Bacteria; p__CSSED10-310
10_25_LLN_R1_paired	0.51	Root; d__Bacteria; p__Nitrospirota
10_25_LLN_R1_paired	0.57	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_LLN_R1_paired	0.35	Root; d__Bacteria; p__Fermentibacterota
10_25_LLN_R1_paired	0.23	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_LLN_R1_paired	0.11	Root; d__Bacteria; p__Synergistota
10_25_LLN_R1_paired	0.57	Root; d__Bacteria; p__Nitrospinota
10_25_LLN_R1_paired	0.37	Root; d__Bacteria; p__WOR-3
10_25_LLN_R1_paired	0.4	Root; d__Bacteria; p__Omnitrophota
10_25_LLN_R1_paired	0.47	Root; d__Bacteria; p__Zhuqueibacterota
10_25_LLN_R1_paired	0.29	Root; d__Bacteria; p__Latescibacterota
10_25_LLN_R1_paired	0.11	Root; d__Bacteria; p__Elusimicrobiota
10_25_LLN_R1_paired	0.11	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
10_25_LLN_R1_paired	0.7	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
10_25_LLN_R1_paired	2.61	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_LLN_R1_paired	0.49	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_LLN_R1_paired	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
10_25_LLN_R1_paired	2.83	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_LLN_R1_paired	2.28	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_LLN_R1_paired	0.03	Root; d__Archaea; p__Halobacteriota; c__Halobacteria
10_25_LLN_R1_paired	0.32	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
10_25_LLN_R1_paired	0.38	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
10_25_LLN_R1_paired	1.43	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_LLN_R1_paired	0.74	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_LLN_R1_paired	0.36	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
10_25_LLN_R1_paired	1.46	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
10_25_LLN_R1_paired	0.23	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
10_25_LLN_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
10_25_LLN_R1_paired	0.23	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
10_25_LLN_R1_paired	0.67	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
10_25_LLN_R1_paired	0.06	Root; d__Bacteria; p__Planctomycetota; c__PUPC01
10_25_LLN_R1_paired	0.34	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
10_25_LLN_R1_paired	0.37	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_LLN_R1_paired	8.66	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_LLN_R1_paired	2.26	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_LLN_R1_paired	1.01	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_LLN_R1_paired	4.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
10_25_LLN_R1_paired	7.4	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
10_25_LLN_R1_paired	0.28	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
10_25_LLN_R1_paired	0.49	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
10_25_LLN_R1_paired	0.53	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
10_25_LLN_R1_paired	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
10_25_LLN_R1_paired	0.38	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
10_25_LLN_R1_paired	0.27	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
10_25_LLN_R1_paired	0.35	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
