sample	coverage	taxonomy
25_12_LLN_R1_paired	1.19	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
25_12_LLN_R1_paired	2.71	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
25_12_LLN_R1_paired	1.29	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
25_12_LLN_R1_paired	0.51	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
25_12_LLN_R1_paired	2.44	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
25_12_LLN_R1_paired	0.28	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
25_12_LLN_R1_paired	0.36	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
25_12_LLN_R1_paired	2.77	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
25_12_LLN_R1_paired	0.57	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
25_12_LLN_R1_paired	1.13	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
25_12_LLN_R1_paired	2.05	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
25_12_LLN_R1_paired	6.65	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
25_12_LLN_R1_paired	0.84	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
25_12_LLN_R1_paired	0.53	Root; d__Bacteria; p__Actinomycetota; c__Geothermincolia
25_12_LLN_R1_paired	1.52	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
25_12_LLN_R1_paired	12.53	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
25_12_LLN_R1_paired	4.84	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
25_12_LLN_R1_paired	0.65	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
25_12_LLN_R1_paired	0.26	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
25_12_LLN_R1_paired	5.34	Root; d__Bacteria; p__Omnitrophota; c__Koll11
25_12_LLN_R1_paired	7.6	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
25_12_LLN_R1_paired	0.24	Root; d__Bacteria; p__Spirochaetota; c__Leptospiria
25_12_LLN_R1_paired	0.6	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
25_12_LLN_R1_paired	0.75	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
25_12_LLN_R1_paired	0.33	Root; d__Bacteria; p__Myxococcota; c__UBA796
25_12_LLN_R1_paired	4.76	Root; d__Bacteria; p__Myxococcota; c__Polyangia
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9
25_12_LLN_R1_paired	1.6	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
25_12_LLN_R1_paired	1.65	Root; d__Bacteria; p__Myxococcota; c__UBA9042
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
25_12_LLN_R1_paired	1.36	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
25_12_LLN_R1_paired	1.64	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
25_12_LLN_R1_paired	0.5	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
25_12_LLN_R1_paired	0.11	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
25_12_LLN_R1_paired	2.27	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
25_12_LLN_R1_paired	1.26	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
25_12_LLN_R1_paired	0.62	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
25_12_LLN_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
