sample	coverage	taxonomy
11_25_FSB_R1_paired	16.31	Root; d__Archaea
11_25_FSB_R1_paired	28.3	Root; d__Bacteria
11_25_FSB_R1_paired	1.02	Root; d__Archaea; p__Halobacteriota
11_25_FSB_R1_paired	4.04	Root; d__Archaea; p__Thermoproteota
11_25_FSB_R1_paired	0.87	Root; d__Archaea; p__Asgardarchaeota
11_25_FSB_R1_paired	2.81	Root; d__Archaea; p__Thermoplasmatota
11_25_FSB_R1_paired	6.21	Root; d__Bacteria; p__Pseudomonadota
11_25_FSB_R1_paired	4.41	Root; d__Bacteria; p__Desulfobacterota
11_25_FSB_R1_paired	1.95	Root; d__Bacteria; p__Planctomycetota
11_25_FSB_R1_paired	4.95	Root; d__Bacteria; p__Acidobacteriota
11_25_FSB_R1_paired	3.71	Root; d__Bacteria; p__Actinomycetota
11_25_FSB_R1_paired	1.14	Root; d__Bacteria; p__Bacteroidota_A
11_25_FSB_R1_paired	1.32	Root; d__Bacteria; p__Bdellovibrionota
11_25_FSB_R1_paired	3.61	Root; d__Bacteria; p__Chloroflexota
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Gemmatimonadota
11_25_FSB_R1_paired	4.64	Root; d__Bacteria; p__Myxococcota
11_25_FSB_R1_paired	0.53	Root; d__Bacteria; p__Nitrospirota
11_25_FSB_R1_paired	5.35	Root; d__Bacteria; p__Patescibacteriota
11_25_FSB_R1_paired	0.76	Root; d__Bacteria; p__Spirochaetota
11_25_FSB_R1_paired	0.18	Root; d__Bacteria; p__Verrucomicrobiota
11_25_FSB_R1_paired	0.54	Root; d__Bacteria; p__Omnitrophota
11_25_FSB_R1_paired	4.1	Root; d__Bacteria; p__Bacillota
11_25_FSB_R1_paired	0.19	Root; d__Bacteria; p__Latescibacterota
11_25_FSB_R1_paired	0.33	Root; d__Bacteria; p__Cyanobacteriota
11_25_FSB_R1_paired	0.73	Root; d__Bacteria; p__Marinisomatota
11_25_FSB_R1_paired	0.5	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_FSB_R1_paired	1.49	Root; d__Bacteria; p__Armatimonadota
11_25_FSB_R1_paired	0.28	Root; d__Bacteria; p__Vulcanimicrobiota
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Nitrospinota
11_25_FSB_R1_paired	0.51	Root; d__Bacteria; p__Zhuqueibacterota
11_25_FSB_R1_paired	0.11	Root; d__Bacteria; p__Elusimicrobiota
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
11_25_FSB_R1_paired	0.68	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
11_25_FSB_R1_paired	0.56	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
11_25_FSB_R1_paired	1.99	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
11_25_FSB_R1_paired	0.16	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
11_25_FSB_R1_paired	2.88	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
11_25_FSB_R1_paired	0.26	Root; d__Archaea; p__Thermoplasmatota; c__E2
11_25_FSB_R1_paired	1.02	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
11_25_FSB_R1_paired	0.9	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
11_25_FSB_R1_paired	3.66	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
11_25_FSB_R1_paired	62.64	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
11_25_FSB_R1_paired	25.99	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
11_25_FSB_R1_paired	0.52	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
11_25_FSB_R1_paired	0.22	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
11_25_FSB_R1_paired	0.23	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
11_25_FSB_R1_paired	0.84	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
11_25_FSB_R1_paired	0.61	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
11_25_FSB_R1_paired	2.36	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
11_25_FSB_R1_paired	0.36	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
11_25_FSB_R1_paired	1.47	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
11_25_FSB_R1_paired	0.21	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
11_25_FSB_R1_paired	0.2	Root; d__Bacteria; p__Planctomycetota; c__J058
11_25_FSB_R1_paired	0.39	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
11_25_FSB_R1_paired	0.16	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
11_25_FSB_R1_paired	3.3	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
11_25_FSB_R1_paired	1.53	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
11_25_FSB_R1_paired	2.52	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
11_25_FSB_R1_paired	0.75	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
11_25_FSB_R1_paired	0.44	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
11_25_FSB_R1_paired	0.42	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
11_25_FSB_R1_paired	0.6	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
11_25_FSB_R1_paired	15.63	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
11_25_FSB_R1_paired	1.2	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
11_25_FSB_R1_paired	0.13	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
11_25_FSB_R1_paired	2.32	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
11_25_FSB_R1_paired	0.29	Root; d__Bacteria; p__Actinomycetota; c__CADDZG01
11_25_FSB_R1_paired	0.34	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
11_25_FSB_R1_paired	3.28	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
11_25_FSB_R1_paired	0.54	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
11_25_FSB_R1_paired	0.24	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
11_25_FSB_R1_paired	6.23	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
11_25_FSB_R1_paired	0.69	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
11_25_FSB_R1_paired	0.55	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
11_25_FSB_R1_paired	3.63	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
11_25_FSB_R1_paired	1.98	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
11_25_FSB_R1_paired	3.07	Root; d__Bacteria; p__Myxococcota; c__Polyangia
11_25_FSB_R1_paired	1.14	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
11_25_FSB_R1_paired	0.42	Root; d__Bacteria; p__Myxococcota; c__UBA796
11_25_FSB_R1_paired	0.59	Root; d__Bacteria; p__Myxococcota; c__UBA9042
11_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9
11_25_FSB_R1_paired	0.26	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
11_25_FSB_R1_paired	1.04	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
11_25_FSB_R1_paired	0.32	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
11_25_FSB_R1_paired	0.25	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
11_25_FSB_R1_paired	1.24	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
11_25_FSB_R1_paired	1.97	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
11_25_FSB_R1_paired	2.28	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
11_25_FSB_R1_paired	1.28	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
11_25_FSB_R1_paired	2.93	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
11_25_FSB_R1_paired	0.81	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
11_25_FSB_R1_paired	0.56	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
11_25_FSB_R1_paired	0.57	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
11_25_FSB_R1_paired	3.01	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
11_25_FSB_R1_paired	0.4	Root; d__Bacteria; p__Spirochaetota; c__Leptospiria
11_25_FSB_R1_paired	2.2	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
11_25_FSB_R1_paired	4.64	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
11_25_FSB_R1_paired	0.99	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
11_25_FSB_R1_paired	2.17	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
11_25_FSB_R1_paired	1.07	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
11_25_FSB_R1_paired	2.54	Root; d__Bacteria; p__Omnitrophota; c__Koll11
11_25_FSB_R1_paired	0.01	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
11_25_FSB_R1_paired	0.59	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
11_25_FSB_R1_paired	4.37	Root; d__Bacteria; p__Bacillota; c__Clostridia
11_25_FSB_R1_paired	4.41	Root; d__Bacteria; p__Bacillota; c__Bacilli
11_25_FSB_R1_paired	0.61	Root; d__Bacteria; p__Bacillota; c__Negativicutes
11_25_FSB_R1_paired	0.44	Root; d__Bacteria; p__Bacillota; c__Limnochordia
11_25_FSB_R1_paired	0.18	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
11_25_FSB_R1_paired	0.43	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
11_25_FSB_R1_paired	1.2	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
11_25_FSB_R1_paired	1.54	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
11_25_FSB_R1_paired	0.4	Root; d__Bacteria; p__Cyanobacteriota; c__Sericytochromatia
11_25_FSB_R1_paired	0.55	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
11_25_FSB_R1_paired	0.1	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
11_25_FSB_R1_paired	1.66	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
11_25_FSB_R1_paired	1.48	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
11_25_FSB_R1_paired	0.53	Root; d__Bacteria; p__SAR324; c__SAR324
11_25_FSB_R1_paired	0.47	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
11_25_FSB_R1_paired	0.99	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
11_25_FSB_R1_paired	0.23	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
11_25_FSB_R1_paired	1.19	Root; d__Bacteria; p__UBA10199; c__UBA10199
11_25_FSB_R1_paired	0.17	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
11_25_FSB_R1_paired	0.28	Root; d__Bacteria; p__Poribacteria; c__WGA-4E
11_25_FSB_R1_paired	1.3	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
11_25_FSB_R1_paired	2.14	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
11_25_FSB_R1_paired	1.49	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
11_25_FSB_R1_paired	1.03	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
11_25_FSB_R1_paired	0.32	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Caldarchaeales
11_25_FSB_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Heimdallarchaeales
11_25_FSB_R1_paired	7.35	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
11_25_FSB_R1_paired	0.26	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
11_25_FSB_R1_paired	0.09	Root; d__Archaea; p__Thermoplasmatota; c__E2; o__JACPAO01
