sample	coverage	taxonomy
11_25_LLN_R1_paired	10.05	Root; d__Archaea
11_25_LLN_R1_paired	36.13	Root; d__Bacteria
11_25_LLN_R1_paired	2.83	Root; d__Archaea; p__Thermoplasmatota
11_25_LLN_R1_paired	3.38	Root; d__Archaea; p__Thermoproteota
11_25_LLN_R1_paired	0.63	Root; d__Archaea; p__Halobacteriota
11_25_LLN_R1_paired	1.69	Root; d__Archaea; p__Asgardarchaeota
11_25_LLN_R1_paired	5.89	Root; d__Bacteria; p__Pseudomonadota
11_25_LLN_R1_paired	9.45	Root; d__Bacteria; p__Desulfobacterota
11_25_LLN_R1_paired	1.74	Root; d__Bacteria; p__Chloroflexota
11_25_LLN_R1_paired	8.57	Root; d__Bacteria; p__Actinomycetota
11_25_LLN_R1_paired	0.21	Root; d__Bacteria; p__Gemmatimonadota
11_25_LLN_R1_paired	3.89	Root; d__Bacteria; p__Planctomycetota
11_25_LLN_R1_paired	3.77	Root; d__Bacteria; p__Acidobacteriota
11_25_LLN_R1_paired	4.03	Root; d__Bacteria; p__Myxococcota
11_25_LLN_R1_paired	1.59	Root; d__Bacteria; p__Nitrospirota
11_25_LLN_R1_paired	5.44	Root; d__Bacteria; p__Bacillota
11_25_LLN_R1_paired	11.43	Root; d__Bacteria; p__Patescibacteriota
11_25_LLN_R1_paired	1.92	Root; d__Bacteria; p__Spirochaetota
11_25_LLN_R1_paired	0.38	Root; d__Bacteria; p__Cyanobacteriota
11_25_LLN_R1_paired	1.81	Root; d__Bacteria; p__Verrucomicrobiota
11_25_LLN_R1_paired	0.75	Root; d__Bacteria; p__Vulcanimicrobiota
11_25_LLN_R1_paired	0.05	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_LLN_R1_paired	0.53	Root; d__Bacteria; p__Zhuqueibacterota
11_25_LLN_R1_paired	0.3	Root; d__Bacteria; p__Marinisomatota
11_25_LLN_R1_paired	1.61	Root; d__Bacteria; p__Bacteroidota_A
11_25_LLN_R1_paired	1.12	Root; d__Bacteria; p__Armatimonadota
11_25_LLN_R1_paired	1.71	Root; d__Bacteria; p__Bdellovibrionota
11_25_LLN_R1_paired	0.19	Root; d__Bacteria; p__Elusimicrobiota
11_25_LLN_R1_paired	0.51	Root; d__Bacteria; p__Bdellovibrionota_G
11_25_LLN_R1_paired	0.17	Root; d__Bacteria; p__Omnitrophota
11_25_LLN_R1_paired	0.66	Root; d__Bacteria; p__WOR-3
11_25_LLN_R1_paired	0.4	Root; d__Bacteria; p__Nitrospinota
11_25_LLN_R1_paired	0.35	Root; d__Bacteria; p__CSSED10-310
11_25_LLN_R1_paired	0.24	Root; d__Bacteria; p__Latescibacterota
11_25_LLN_R1_paired	0.34	Root; d__Bacteria; p__Electryoneota
11_25_LLN_R1_paired	2.18	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
11_25_LLN_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
11_25_LLN_R1_paired	1.59	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
11_25_LLN_R1_paired	0.17	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
11_25_LLN_R1_paired	1.56	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
11_25_LLN_R1_paired	0.01	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
