sample	coverage	taxonomy
01_26_FSB_R1_paired	0.58	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
01_26_FSB_R1_paired	2.7	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
01_26_FSB_R1_paired	2.25	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
01_26_FSB_R1_paired	0.6	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
01_26_FSB_R1_paired	0.1	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
01_26_FSB_R1_paired	0.57	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
01_26_FSB_R1_paired	0.52	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
01_26_FSB_R1_paired	0.33	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
01_26_FSB_R1_paired	0.24	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
01_26_FSB_R1_paired	0.43	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
01_26_FSB_R1_paired	0.2	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
01_26_FSB_R1_paired	0.84	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
01_26_FSB_R1_paired	1.06	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
01_26_FSB_R1_paired	0.46	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
01_26_FSB_R1_paired	0.67	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
01_26_FSB_R1_paired	0.64	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
01_26_FSB_R1_paired	0.11	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
01_26_FSB_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
01_26_FSB_R1_paired	0.12	Root; d__Bacteria; p__Planctomycetota; c__J058
01_26_FSB_R1_paired	0.45	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
01_26_FSB_R1_paired	1.52	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
01_26_FSB_R1_paired	0.36	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
01_26_FSB_R1_paired	0.36	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
01_26_FSB_R1_paired	0.53	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
01_26_FSB_R1_paired	1.4	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
01_26_FSB_R1_paired	0.77	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
01_26_FSB_R1_paired	0.24	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
01_26_FSB_R1_paired	1.82	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
01_26_FSB_R1_paired	0.06	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
01_26_FSB_R1_paired	5.49	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
01_26_FSB_R1_paired	5.47	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
01_26_FSB_R1_paired	0.68	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
01_26_FSB_R1_paired	1.92	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
01_26_FSB_R1_paired	4.36	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
01_26_FSB_R1_paired	2.63	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
01_26_FSB_R1_paired	0.17	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
01_26_FSB_R1_paired	2.4	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
01_26_FSB_R1_paired	0.45	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
01_26_FSB_R1_paired	1.57	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
01_26_FSB_R1_paired	0.24	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
01_26_FSB_R1_paired	0.74	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
01_26_FSB_R1_paired	5.06	Root; d__Bacteria; p__Bacillota; c__Clostridia
01_26_FSB_R1_paired	4.82	Root; d__Bacteria; p__Bacillota; c__Bacilli
01_26_FSB_R1_paired	3.95	Root; d__Bacteria; p__Omnitrophota; c__Koll11
01_26_FSB_R1_paired	0.28	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
01_26_FSB_R1_paired	0.18	Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia
01_26_FSB_R1_paired	0.39	Root; d__Bacteria; p__SAR324; c__SAR324
01_26_FSB_R1_paired	0.06	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
01_26_FSB_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
01_26_FSB_R1_paired	1.47	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
01_26_FSB_R1_paired	0.29	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
01_26_FSB_R1_paired	0.07	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
01_26_FSB_R1_paired	0.97	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
01_26_FSB_R1_paired	0.89	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
01_26_FSB_R1_paired	1.0	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
01_26_FSB_R1_paired	0.96	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
01_26_FSB_R1_paired	0.25	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
01_26_FSB_R1_paired	0.11	Root; d__Bacteria; p__Deinococcota; c__Deinococci
01_26_FSB_R1_paired	0.48	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
01_26_FSB_R1_paired	1.19	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
01_26_FSB_R1_paired	1.05	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
01_26_FSB_R1_paired	0.06	Root; d__Bacteria; p__Arandabacterota; c__Arandabacteria
01_26_FSB_R1_paired	0.82	Root; d__Bacteria; p__UBA10199; c__UBA10199
01_26_FSB_R1_paired	0.63	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
01_26_FSB_R1_paired	0.21	Root; d__Bacteria; p__Bdellovibrionota_G; c__JALEGL01
01_26_FSB_R1_paired	0.15	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
01_26_FSB_R1_paired	0.28	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
01_26_FSB_R1_paired	0.06	Root; d__Bacteria; p__4484-113; c__4484-113
01_26_FSB_R1_paired	0.91	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
01_26_FSB_R1_paired	0.27	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
01_26_FSB_R1_paired	17.06	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
01_26_FSB_R1_paired	2.26	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
01_26_FSB_R1_paired	0.53	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__UBA10117
01_26_FSB_R1_paired	0.55	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
01_26_FSB_R1_paired	0.42	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Bathyarchaeales
