sample	coverage	taxonomy
10_25_FSB_R1_paired	9.58	Root; d__Archaea
10_25_FSB_R1_paired	46.62	Root; d__Bacteria
10_25_FSB_R1_paired	3.3	Root; d__Archaea; p__Thermoproteota
10_25_FSB_R1_paired	0.77	Root; d__Archaea; p__Halobacteriota
10_25_FSB_R1_paired	3.36	Root; d__Archaea; p__Thermoplasmatota
10_25_FSB_R1_paired	1.29	Root; d__Archaea; p__Asgardarchaeota
10_25_FSB_R1_paired	5.61	Root; d__Bacteria; p__Planctomycetota
10_25_FSB_R1_paired	6.26	Root; d__Bacteria; p__Bacillota
10_25_FSB_R1_paired	2.0	Root; d__Bacteria; p__Pseudomonadota
10_25_FSB_R1_paired	4.98	Root; d__Bacteria; p__Patescibacteriota
10_25_FSB_R1_paired	2.21	Root; d__Bacteria; p__Chloroflexota
10_25_FSB_R1_paired	1.77	Root; d__Bacteria; p__Acidobacteriota
10_25_FSB_R1_paired	8.19	Root; d__Bacteria; p__Actinomycetota
10_25_FSB_R1_paired	0.03	Root; d__Bacteria; p__Gemmatimonadota
10_25_FSB_R1_paired	1.41	Root; d__Bacteria; p__Verrucomicrobiota
10_25_FSB_R1_paired	0.48	Root; d__Bacteria; p__Nitrospirota
10_25_FSB_R1_paired	2.51	Root; d__Bacteria; p__Spirochaetota
10_25_FSB_R1_paired	5.33	Root; d__Bacteria; p__Desulfobacterota
10_25_FSB_R1_paired	2.04	Root; d__Bacteria; p__Bacteroidota_A
10_25_FSB_R1_paired	0.46	Root; d__Bacteria; p__Marinisomatota
10_25_FSB_R1_paired	1.11	Root; d__Bacteria; p__Bdellovibrionota
10_25_FSB_R1_paired	0.36	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_FSB_R1_paired	0.21	Root; d__Bacteria; p__Omnitrophota
10_25_FSB_R1_paired	4.71	Root; d__Bacteria; p__Myxococcota
10_25_FSB_R1_paired	0.29	Root; d__Bacteria; p__Elusimicrobiota
10_25_FSB_R1_paired	0.12	Root; d__Bacteria; p__Campylobacterota
10_25_FSB_R1_paired	0.35	Root; d__Bacteria; p__Nitrospinota
10_25_FSB_R1_paired	0.62	Root; d__Bacteria; p__Cyanobacteriota
10_25_FSB_R1_paired	0.88	Root; d__Bacteria; p__Zhuqueibacterota
10_25_FSB_R1_paired	1.97	Root; d__Bacteria; p__Armatimonadota
10_25_FSB_R1_paired	0.48	Root; d__Bacteria; p__Fibrobacterota
10_25_FSB_R1_paired	0.25	Root; d__Bacteria; p__Poribacteria
10_25_FSB_R1_paired	0.43	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_FSB_R1_paired	0.51	Root; d__Bacteria; p__WOR-3
10_25_FSB_R1_paired	0.17	Root; d__Bacteria; p__Latescibacterota
10_25_FSB_R1_paired	0.17	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_FSB_R1_paired	0.27	Root; d__Bacteria; p__TA06_A
10_25_FSB_R1_paired	0.34	Root; d__Bacteria; p__Muiribacteriota
10_25_FSB_R1_paired	0.35	Root; d__Bacteria; p__CSSED10-310
10_25_FSB_R1_paired	0.4	Root; d__Bacteria; p__Margulisbacteria
10_25_FSB_R1_paired	0.27	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_FSB_R1_paired	1.27	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_FSB_R1_paired	0.5	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
10_25_FSB_R1_paired	0.12	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
10_25_FSB_R1_paired	2.05	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_FSB_R1_paired	0.29	Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi
10_25_FSB_R1_paired	0.44	Root; d__Archaea; p__Methanobacteriota_B; c__Thermococci
10_25_FSB_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
10_25_FSB_R1_paired	0.6	Root; d__Archaea; p__Thermoplasmatota; c__E2
10_25_FSB_R1_paired	2.44	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_FSB_R1_paired	0.18	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26
10_25_FSB_R1_paired	1.39	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_FSB_R1_paired	0.11	Root; d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia
10_25_FSB_R1_paired	0.77	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
10_25_FSB_R1_paired	0.38	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
10_25_FSB_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
10_25_FSB_R1_paired	2.53	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_FSB_R1_paired	0.46	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
10_25_FSB_R1_paired	0.35	Root; d__Archaea; p__B1Sed10-29; c__B1Sed10-29
10_25_FSB_R1_paired	1.11	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
10_25_FSB_R1_paired	1.52	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
10_25_FSB_R1_paired	0.75	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
10_25_FSB_R1_paired	0.25	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
10_25_FSB_R1_paired	0.54	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
10_25_FSB_R1_paired	0.12	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
10_25_FSB_R1_paired	0.17	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
10_25_FSB_R1_paired	0.5	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
10_25_FSB_R1_paired	0.55	Root; d__Bacteria; p__Planctomycetota; c__J058
10_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Planctomycetota; c__PUPC01
10_25_FSB_R1_paired	5.07	Root; d__Bacteria; p__Bacillota; c__Clostridia
10_25_FSB_R1_paired	5.54	Root; d__Bacteria; p__Bacillota; c__Bacilli
10_25_FSB_R1_paired	0.36	Root; d__Bacteria; p__Bacillota; c__Limnochordia
10_25_FSB_R1_paired	0.73	Root; d__Bacteria; p__Bacillota; c__Negativicutes
10_25_FSB_R1_paired	20.42	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_FSB_R1_paired	45.43	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_FSB_R1_paired	0.29	Root; d__Bacteria; p__Pseudomonadota; c__Zetaproteobacteria
10_25_FSB_R1_paired	0.98	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
10_25_FSB_R1_paired	1.77	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
10_25_FSB_R1_paired	0.34	Root; d__Bacteria; p__Patescibacteriota; c__UBA1384
10_25_FSB_R1_paired	4.09	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
10_25_FSB_R1_paired	6.47	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
10_25_FSB_R1_paired	3.38	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
10_25_FSB_R1_paired	0.53	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
10_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Patescibacteriota; c__4484-211
10_25_FSB_R1_paired	0.72	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
10_25_FSB_R1_paired	0.76	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
10_25_FSB_R1_paired	8.29	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
10_25_FSB_R1_paired	0.77	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
10_25_FSB_R1_paired	0.49	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
10_25_FSB_R1_paired	5.53	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
10_25_FSB_R1_paired	2.52	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_FSB_R1_paired	3.24	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_FSB_R1_paired	1.89	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_FSB_R1_paired	0.55	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
10_25_FSB_R1_paired	0.48	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_FSB_R1_paired	0.98	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_FSB_R1_paired	0.47	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
10_25_FSB_R1_paired	0.17	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
10_25_FSB_R1_paired	1.05	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_FSB_R1_paired	0.64	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_FSB_R1_paired	1.21	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_FSB_R1_paired	5.6	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_FSB_R1_paired	0.68	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_FSB_R1_paired	1.43	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
10_25_FSB_R1_paired	1.76	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
10_25_FSB_R1_paired	6.24	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
10_25_FSB_R1_paired	0.51	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
10_25_FSB_R1_paired	1.35	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
10_25_FSB_R1_paired	0.41	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
10_25_FSB_R1_paired	4.77	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
10_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Spirochaetota; c__Leptospiria
10_25_FSB_R1_paired	0.11	Root; d__Bacteria; p__Spirochaetota; c__UBA12135
10_25_FSB_R1_paired	0.29	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
10_25_FSB_R1_paired	0.53	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
10_25_FSB_R1_paired	0.18	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
10_25_FSB_R1_paired	0.49	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
10_25_FSB_R1_paired	0.01	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
10_25_FSB_R1_paired	0.48	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
10_25_FSB_R1_paired	0.12	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
10_25_FSB_R1_paired	4.3	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
10_25_FSB_R1_paired	0.08	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
10_25_FSB_R1_paired	0.38	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
10_25_FSB_R1_paired	0.11	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
10_25_FSB_R1_paired	0.36	Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia
10_25_FSB_R1_paired	1.5	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
10_25_FSB_R1_paired	0.23	Root; d__Bacteria; p__Deinococcota; c__Deinococci
10_25_FSB_R1_paired	0.22	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
10_25_FSB_R1_paired	0.06	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
10_25_FSB_R1_paired	5.23	Root; d__Bacteria; p__Omnitrophota; c__Koll11
10_25_FSB_R1_paired	0.34	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
10_25_FSB_R1_paired	0.67	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
10_25_FSB_R1_paired	3.16	Root; d__Bacteria; p__Myxococcota; c__Polyangia
