sample	coverage	taxonomy
11_25_DAC_R1_paired	8.11	Root; d__Archaea
11_25_DAC_R1_paired	22.52	Root; d__Bacteria
11_25_DAC_R1_paired	4.0	Root; d__Archaea; p__Thermoproteota
11_25_DAC_R1_paired	1.34	Root; d__Archaea; p__Halobacteriota
11_25_DAC_R1_paired	2.18	Root; d__Archaea; p__Thermoplasmatota
11_25_DAC_R1_paired	1.74	Root; d__Archaea; p__Asgardarchaeota
11_25_DAC_R1_paired	0.59	Root; d__Archaea; p__Methanobacteriota
11_25_DAC_R1_paired	2.09	Root; d__Bacteria; p__Bacteroidota_A
11_25_DAC_R1_paired	6.97	Root; d__Bacteria; p__Actinomycetota
11_25_DAC_R1_paired	3.18	Root; d__Bacteria; p__Chloroflexota
11_25_DAC_R1_paired	5.57	Root; d__Bacteria; p__Desulfobacterota
11_25_DAC_R1_paired	5.86	Root; d__Bacteria; p__Planctomycetota
11_25_DAC_R1_paired	2.09	Root; d__Bacteria; p__Spirochaetota
11_25_DAC_R1_paired	10.04	Root; d__Bacteria; p__Patescibacteriota
11_25_DAC_R1_paired	0.78	Root; d__Bacteria; p__Verrucomicrobiota
11_25_DAC_R1_paired	0.34	Root; d__Bacteria; p__Gemmatimonadota
11_25_DAC_R1_paired	5.23	Root; d__Bacteria; p__Acidobacteriota
11_25_DAC_R1_paired	0.92	Root; d__Bacteria; p__Nitrospirota
11_25_DAC_R1_paired	3.94	Root; d__Bacteria; p__Myxococcota
11_25_DAC_R1_paired	0.79	Root; d__Bacteria; p__Marinisomatota
11_25_DAC_R1_paired	0.38	Root; d__Bacteria; p__Electryoneota
11_25_DAC_R1_paired	5.75	Root; d__Bacteria; p__Bacillota
11_25_DAC_R1_paired	0.11	Root; d__Bacteria; p__Campylobacterota
11_25_DAC_R1_paired	0.62	Root; d__Bacteria; p__Zhuqueibacterota
11_25_DAC_R1_paired	1.51	Root; d__Bacteria; p__Bdellovibrionota
11_25_DAC_R1_paired	0.24	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_DAC_R1_paired	0.63	Root; d__Bacteria; p__Cyanobacteriota
11_25_DAC_R1_paired	0.68	Root; d__Bacteria; p__Latescibacterota
11_25_DAC_R1_paired	0.17	Root; d__Bacteria; p__Nitrospinota
11_25_DAC_R1_paired	0.23	Root; d__Bacteria; p__Elusimicrobiota
11_25_DAC_R1_paired	0.4	Root; d__Bacteria; p__Fibrobacterota
11_25_DAC_R1_paired	0.34	Root; d__Bacteria; p__Bdellovibrionota_G
11_25_DAC_R1_paired	0.45	Root; d__Bacteria; p__CSSED10-310
11_25_DAC_R1_paired	0.28	Root; d__Bacteria; p__Vulcanimicrobiota
11_25_DAC_R1_paired	0.97	Root; d__Bacteria; p__Armatimonadota
11_25_DAC_R1_paired	0.76	Root; d__Bacteria; p__Margulisbacteria
11_25_DAC_R1_paired	0.17	Root; d__Bacteria; p__Poribacteria
11_25_DAC_R1_paired	0.45	Root; d__Bacteria; p__Muiribacteriota
