sample	coverage	taxonomy
01_26_PPT_R1_paired	12.41	Root; d__Archaea
01_26_PPT_R1_paired	33.63	Root; d__Bacteria
01_26_PPT_R1_paired	3.15	Root; d__Archaea; p__Thermoproteota
01_26_PPT_R1_paired	1.24	Root; d__Archaea; p__Asgardarchaeota
01_26_PPT_R1_paired	3.28	Root; d__Archaea; p__Thermoplasmatota
01_26_PPT_R1_paired	0.21	Root; d__Archaea; p__Methanobacteriota
01_26_PPT_R1_paired	1.08	Root; d__Archaea; p__Halobacteriota
01_26_PPT_R1_paired	3.72	Root; d__Bacteria; p__Pseudomonadota
01_26_PPT_R1_paired	5.76	Root; d__Bacteria; p__Desulfobacterota
01_26_PPT_R1_paired	3.54	Root; d__Bacteria; p__Acidobacteriota
01_26_PPT_R1_paired	1.88	Root; d__Bacteria; p__Spirochaetota
01_26_PPT_R1_paired	5.44	Root; d__Bacteria; p__Actinomycetota
01_26_PPT_R1_paired	2.06	Root; d__Bacteria; p__Chloroflexota
01_26_PPT_R1_paired	1.22	Root; d__Bacteria; p__Armatimonadota
01_26_PPT_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
01_26_PPT_R1_paired	2.09	Root; d__Bacteria; p__Bacteroidota_A
01_26_PPT_R1_paired	0.06	Root; d__Bacteria; p__Gemmatimonadota
01_26_PPT_R1_paired	4.09	Root; d__Bacteria; p__Planctomycetota
01_26_PPT_R1_paired	0.38	Root; d__Bacteria; p__Verrucomicrobiota
01_26_PPT_R1_paired	2.81	Root; d__Bacteria; p__Myxococcota
01_26_PPT_R1_paired	5.46	Root; d__Bacteria; p__Patescibacteriota
01_26_PPT_R1_paired	4.98	Root; d__Bacteria; p__Bacillota
01_26_PPT_R1_paired	0.76	Root; d__Bacteria; p__Latescibacterota
01_26_PPT_R1_paired	0.64	Root; d__Bacteria; p__Marinisomatota
01_26_PPT_R1_paired	0.57	Root; d__Bacteria; p__Electryoneota
01_26_PPT_R1_paired	0.94	Root; d__Bacteria; p__Zhuqueibacterota
01_26_PPT_R1_paired	0.57	Root; d__Bacteria; p__Nitrospirota
01_26_PPT_R1_paired	0.34	Root; d__Bacteria; p__Bdellovibrionota_B
01_26_PPT_R1_paired	0.24	Root; d__Bacteria; p__Fermentibacterota
01_26_PPT_R1_paired	1.87	Root; d__Bacteria; p__Bdellovibrionota
01_26_PPT_R1_paired	0.23	Root; d__Bacteria; p__Fibrobacterota
01_26_PPT_R1_paired	0.53	Root; d__Bacteria; p__WOR-3
01_26_PPT_R1_paired	0.28	Root; d__Bacteria; p__Omnitrophota
01_26_PPT_R1_paired	0.28	Root; d__Bacteria; p__Cyanobacteriota
01_26_PPT_R1_paired	0.24	Root; d__Bacteria; p__Margulisbacteria
01_26_PPT_R1_paired	0.63	Root; d__Bacteria; p__CSSED10-310
01_26_PPT_R1_paired	0.28	Root; d__Bacteria; p__Elusimicrobiota
01_26_PPT_R1_paired	2.78	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
