sample	coverage	taxonomy
12_25_PPT_R1_paired	23.52	Root; d__Archaea
12_25_PPT_R1_paired	19.35	Root; d__Bacteria
12_25_PPT_R1_paired	3.08	Root; d__Archaea; p__Thermoplasmatota
12_25_PPT_R1_paired	2.49	Root; d__Archaea; p__Asgardarchaeota
12_25_PPT_R1_paired	0.61	Root; d__Archaea; p__Halobacteriota
12_25_PPT_R1_paired	5.6	Root; d__Archaea; p__Thermoproteota
12_25_PPT_R1_paired	0.65	Root; d__Archaea; p__Methanobacteriota
12_25_PPT_R1_paired	5.21	Root; d__Bacteria; p__Desulfobacterota
12_25_PPT_R1_paired	9.21	Root; d__Bacteria; p__Pseudomonadota
12_25_PPT_R1_paired	0.29	Root; d__Bacteria; p__Campylobacterota
12_25_PPT_R1_paired	0.62	Root; d__Bacteria; p__Zhuqueibacterota
12_25_PPT_R1_paired	5.09	Root; d__Bacteria; p__Acidobacteriota
12_25_PPT_R1_paired	5.11	Root; d__Bacteria; p__Patescibacteriota
12_25_PPT_R1_paired	6.31	Root; d__Bacteria; p__Actinomycetota
12_25_PPT_R1_paired	0.7	Root; d__Bacteria; p__Chloroflexota
12_25_PPT_R1_paired	4.15	Root; d__Bacteria; p__Planctomycetota
12_25_PPT_R1_paired	2.32	Root; d__Bacteria; p__Spirochaetota
12_25_PPT_R1_paired	4.5	Root; d__Bacteria; p__Myxococcota
12_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Margulisbacteria
12_25_PPT_R1_paired	0.44	Root; d__Bacteria; p__Verrucomicrobiota
12_25_PPT_R1_paired	0.67	Root; d__Bacteria; p__Bdellovibrionota
12_25_PPT_R1_paired	0.22	Root; d__Bacteria; p__Gemmatimonadota
12_25_PPT_R1_paired	6.04	Root; d__Bacteria; p__Bacillota
12_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Omnitrophota
12_25_PPT_R1_paired	2.11	Root; d__Bacteria; p__Bacteroidota_A
12_25_PPT_R1_paired	0.85	Root; d__Bacteria; p__Nitrospirota
12_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Marinisomatota
12_25_PPT_R1_paired	1.87	Root; d__Bacteria; p__Armatimonadota
12_25_PPT_R1_paired	0.1	Root; d__Bacteria; p__Fermentibacterota
12_25_PPT_R1_paired	0.55	Root; d__Bacteria; p__Cyanobacteriota
12_25_PPT_R1_paired	0.37	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__WOR-3
