sample	coverage	taxonomy
12_25_TCR_R1_paired	17.17	Root; d__Archaea
12_25_TCR_R1_paired	45.39	Root; d__Bacteria
12_25_TCR_R1_paired	2.29	Root; d__Archaea; p__Thermoplasmatota
12_25_TCR_R1_paired	3.39	Root; d__Archaea; p__Thermoproteota
12_25_TCR_R1_paired	0.92	Root; d__Archaea; p__Halobacteriota
12_25_TCR_R1_paired	1.99	Root; d__Archaea; p__Asgardarchaeota
12_25_TCR_R1_paired	0.94	Root; d__Archaea; p__Methanobacteriota
12_25_TCR_R1_paired	8.9	Root; d__Bacteria; p__Desulfobacterota
12_25_TCR_R1_paired	4.2	Root; d__Bacteria; p__Patescibacteriota
12_25_TCR_R1_paired	6.28	Root; d__Bacteria; p__Acidobacteriota
12_25_TCR_R1_paired	4.97	Root; d__Bacteria; p__Actinomycetota
12_25_TCR_R1_paired	0.11	Root; d__Bacteria; p__Campylobacterota
12_25_TCR_R1_paired	4.77	Root; d__Bacteria; p__Planctomycetota
12_25_TCR_R1_paired	1.01	Root; d__Bacteria; p__Verrucomicrobiota
12_25_TCR_R1_paired	1.81	Root; d__Bacteria; p__Myxococcota
12_25_TCR_R1_paired	1.87	Root; d__Bacteria; p__Bacteroidota_A
12_25_TCR_R1_paired	0.54	Root; d__Bacteria; p__Gemmatimonadota
12_25_TCR_R1_paired	6.37	Root; d__Bacteria; p__Bacillota
12_25_TCR_R1_paired	0.59	Root; d__Bacteria; p__Zhuqueibacterota
12_25_TCR_R1_paired	0.34	Root; d__Bacteria; p__Fermentibacterota
12_25_TCR_R1_paired	1.73	Root; d__Bacteria; p__Bdellovibrionota
12_25_TCR_R1_paired	0.51	Root; d__Bacteria; p__Cyanobacteriota
12_25_TCR_R1_paired	0.64	Root; d__Bacteria; p__Nitrospirota
12_25_TCR_R1_paired	1.7	Root; d__Bacteria; p__Armatimonadota
12_25_TCR_R1_paired	0.51	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_TCR_R1_paired	0.68	Root; d__Bacteria; p__CSSED10-310
12_25_TCR_R1_paired	0.29	Root; d__Bacteria; p__Omnitrophota
12_25_TCR_R1_paired	0.53	Root; d__Bacteria; p__Marinisomatota
12_25_TCR_R1_paired	0.13	Root; d__Bacteria; p__Bdellovibrionota_G
12_25_TCR_R1_paired	1.41	Root; d__Bacteria; p__Spirochaetota
12_25_TCR_R1_paired	0.28	Root; d__Bacteria; p__Synergistota
12_25_TCR_R1_paired	0.76	Root; d__Bacteria; p__Latescibacterota
12_25_TCR_R1_paired	0.24	Root; d__Bacteria; p__TA06_A
12_25_TCR_R1_paired	0.27	Root; d__Bacteria; p__Fibrobacterota
12_25_TCR_R1_paired	0.49	Root; d__Bacteria; p__Electryoneota
12_25_TCR_R1_paired	0.45	Root; d__Bacteria; p__WOR-3
12_25_TCR_R1_paired	0.36	Root; d__Bacteria; p__Nitrospinota
12_25_TCR_R1_paired	0.24	Root; d__Bacteria; p__Elusimicrobiota
12_25_TCR_R1_paired	0.56	Root; d__Bacteria; p__Vulcanimicrobiota
12_25_TCR_R1_paired	0.25	Root; d__Archaea; p__Thermoplasmatota; c__E2
12_25_TCR_R1_paired	1.02	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
12_25_TCR_R1_paired	1.42	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
12_25_TCR_R1_paired	0.37	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
12_25_TCR_R1_paired	0.38	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
12_25_TCR_R1_paired	4.11	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
12_25_TCR_R1_paired	0.11	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
12_25_TCR_R1_paired	0.94	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
12_25_TCR_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
12_25_TCR_R1_paired	0.52	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
12_25_TCR_R1_paired	0.78	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
12_25_TCR_R1_paired	0.69	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
12_25_TCR_R1_paired	2.56	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
12_25_TCR_R1_paired	0.22	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
12_25_TCR_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
12_25_TCR_R1_paired	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
12_25_TCR_R1_paired	0.04	Root; d__Bacteria; p__Desulfobacterota; c__DSM-4660
12_25_TCR_R1_paired	0.62	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
12_25_TCR_R1_paired	0.46	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
12_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
12_25_TCR_R1_paired	0.39	Root; d__Bacteria; p__Desulfobacterota; c__BSN033
12_25_TCR_R1_paired	2.35	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
12_25_TCR_R1_paired	3.09	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
12_25_TCR_R1_paired	0.81	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
12_25_TCR_R1_paired	2.61	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
12_25_TCR_R1_paired	4.7	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
12_25_TCR_R1_paired	0.54	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
12_25_TCR_R1_paired	0.07	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
12_25_TCR_R1_paired	0.29	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
12_25_TCR_R1_paired	37.37	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
12_25_TCR_R1_paired	15.99	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
12_25_TCR_R1_paired	2.84	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
12_25_TCR_R1_paired	0.44	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
12_25_TCR_R1_paired	0.92	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
12_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
12_25_TCR_R1_paired	2.47	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
12_25_TCR_R1_paired	0.81	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
12_25_TCR_R1_paired	2.33	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
12_25_TCR_R1_paired	0.42	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
12_25_TCR_R1_paired	0.39	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
12_25_TCR_R1_paired	2.2	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
12_25_TCR_R1_paired	1.15	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
12_25_TCR_R1_paired	9.28	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
12_25_TCR_R1_paired	0.27	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
12_25_TCR_R1_paired	1.14	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
12_25_TCR_R1_paired	1.14	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
12_25_TCR_R1_paired	1.67	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
12_25_TCR_R1_paired	0.45	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
12_25_TCR_R1_paired	0.95	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
12_25_TCR_R1_paired	0.69	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
12_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__J058
12_25_TCR_R1_paired	0.18	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
12_25_TCR_R1_paired	0.25	Root; d__Bacteria; p__Planctomycetota; c__PUPC01
12_25_TCR_R1_paired	15.34	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
12_25_TCR_R1_paired	0.84	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
12_25_TCR_R1_paired	0.85	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
12_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
12_25_TCR_R1_paired	5.02	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
12_25_TCR_R1_paired	2.18	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
12_25_TCR_R1_paired	7.55	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
12_25_TCR_R1_paired	0.86	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
12_25_TCR_R1_paired	3.47	Root; d__Bacteria; p__Myxococcota; c__Polyangia
12_25_TCR_R1_paired	0.43	Root; d__Bacteria; p__Myxococcota; c__UBA9042
12_25_TCR_R1_paired	1.0	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
12_25_TCR_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
12_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
12_25_TCR_R1_paired	0.53	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
