sample	coverage	taxonomy
01_26_MPT_R1_paired	11.42	Root; d__Archaea
01_26_MPT_R1_paired	24.26	Root; d__Bacteria
01_26_MPT_R1_paired	5.46	Root; d__Archaea; p__Thermoproteota
01_26_MPT_R1_paired	1.67	Root; d__Archaea; p__Thermoplasmatota
01_26_MPT_R1_paired	1.03	Root; d__Archaea; p__Asgardarchaeota
01_26_MPT_R1_paired	1.01	Root; d__Archaea; p__Halobacteriota
01_26_MPT_R1_paired	3.64	Root; d__Bacteria; p__Pseudomonadota
01_26_MPT_R1_paired	6.17	Root; d__Bacteria; p__Planctomycetota
01_26_MPT_R1_paired	2.93	Root; d__Bacteria; p__Actinomycetota
01_26_MPT_R1_paired	6.16	Root; d__Bacteria; p__Acidobacteriota
01_26_MPT_R1_paired	1.02	Root; d__Bacteria; p__Bacteroidota_A
01_26_MPT_R1_paired	2.82	Root; d__Bacteria; p__Chloroflexota
01_26_MPT_R1_paired	0.78	Root; d__Bacteria; p__Nitrospirota
01_26_MPT_R1_paired	0.06	Root; d__Bacteria; p__Gemmatimonadota
01_26_MPT_R1_paired	0.4	Root; d__Bacteria; p__Bdellovibrionota_B
01_26_MPT_R1_paired	0.3	Root; d__Bacteria; p__Latescibacterota
01_26_MPT_R1_paired	3.62	Root; d__Bacteria; p__Myxococcota
01_26_MPT_R1_paired	4.39	Root; d__Bacteria; p__Bacillota
01_26_MPT_R1_paired	0.34	Root; d__Bacteria; p__Omnitrophota
01_26_MPT_R1_paired	3.03	Root; d__Bacteria; p__Patescibacteriota
01_26_MPT_R1_paired	1.6	Root; d__Bacteria; p__Verrucomicrobiota
01_26_MPT_R1_paired	5.35	Root; d__Bacteria; p__Desulfobacterota
01_26_MPT_R1_paired	0.57	Root; d__Bacteria; p__Cyanobacteriota
01_26_MPT_R1_paired	0.11	Root; d__Bacteria; p__Zhuqueibacterota
01_26_MPT_R1_paired	0.28	Root; d__Bacteria; p__Campylobacterota
01_26_MPT_R1_paired	0.23	Root; d__Bacteria; p__Vulcanimicrobiota
01_26_MPT_R1_paired	0.51	Root; d__Bacteria; p__Spirochaetota
01_26_MPT_R1_paired	1.17	Root; d__Bacteria; p__Bdellovibrionota
01_26_MPT_R1_paired	0.71	Root; d__Bacteria; p__Armatimonadota
01_26_MPT_R1_paired	0.06	Root; d__Bacteria; p__Elusimicrobiota
01_26_MPT_R1_paired	0.23	Root; d__Bacteria; p__Nitrospinota
01_26_MPT_R1_paired	0.29	Root; d__Bacteria; p__Bdellovibrionota_G
01_26_MPT_R1_paired	0.34	Root; d__Bacteria; p__Marinisomatota
01_26_MPT_R1_paired	0.33	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
01_26_MPT_R1_paired	0.59	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
01_26_MPT_R1_paired	0.64	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
