sample	coverage	taxonomy
11_25_MPT_R1_paired	10.24	Root; d__Archaea
11_25_MPT_R1_paired	23.92	Root; d__Bacteria
11_25_MPT_R1_paired	4.52	Root; d__Archaea; p__Thermoproteota
11_25_MPT_R1_paired	1.16	Root; d__Archaea; p__Asgardarchaeota
11_25_MPT_R1_paired	0.46	Root; d__Archaea; p__Halobacteriota
11_25_MPT_R1_paired	1.8	Root; d__Archaea; p__Thermoplasmatota
11_25_MPT_R1_paired	1.75	Root; d__Bacteria; p__Chloroflexota
11_25_MPT_R1_paired	3.5	Root; d__Bacteria; p__Bacillota
11_25_MPT_R1_paired	3.98	Root; d__Bacteria; p__Actinomycetota
11_25_MPT_R1_paired	0.12	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_MPT_R1_paired	5.55	Root; d__Bacteria; p__Planctomycetota
11_25_MPT_R1_paired	4.12	Root; d__Bacteria; p__Desulfobacterota
11_25_MPT_R1_paired	0.46	Root; d__Bacteria; p__Nitrospirota
11_25_MPT_R1_paired	3.57	Root; d__Bacteria; p__Patescibacteriota
11_25_MPT_R1_paired	0.55	Root; d__Bacteria; p__Bacteroidota_A
11_25_MPT_R1_paired	2.74	Root; d__Bacteria; p__Myxococcota
11_25_MPT_R1_paired	1.75	Root; d__Bacteria; p__Bdellovibrionota
11_25_MPT_R1_paired	0.17	Root; d__Bacteria; p__Gemmatimonadota
11_25_MPT_R1_paired	0.27	Root; d__Bacteria; p__Verrucomicrobiota
11_25_MPT_R1_paired	1.99	Root; d__Bacteria; p__Acidobacteriota
11_25_MPT_R1_paired	0.85	Root; d__Bacteria; p__Spirochaetota
11_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Latescibacterota
11_25_MPT_R1_paired	0.13	Root; d__Bacteria; p__Omnitrophota
11_25_MPT_R1_paired	0.71	Root; d__Bacteria; p__Armatimonadota
11_25_MPT_R1_paired	0.23	Root; d__Bacteria; p__Nitrospinota
11_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Zhuqueibacterota
11_25_MPT_R1_paired	0.69	Root; d__Bacteria; p__Cyanobacteriota
11_25_MPT_R1_paired	0.26	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
