sample	coverage	taxonomy
10_25_DAC_R1_paired	17.4	Root; d__Archaea
10_25_DAC_R1_paired	49.83	Root; d__Bacteria
10_25_DAC_R1_paired	4.06	Root; d__Archaea; p__Thermoproteota
10_25_DAC_R1_paired	1.97	Root; d__Archaea; p__Asgardarchaeota
10_25_DAC_R1_paired	0.71	Root; d__Archaea; p__Halobacteriota
10_25_DAC_R1_paired	2.99	Root; d__Archaea; p__Thermoplasmatota
10_25_DAC_R1_paired	0.48	Root; d__Archaea; p__Methanobacteriota
10_25_DAC_R1_paired	0.69	Root; d__Bacteria; p__Pseudomonadota
10_25_DAC_R1_paired	0.9	Root; d__Bacteria; p__Cyanobacteriota
10_25_DAC_R1_paired	6.33	Root; d__Bacteria; p__Desulfobacterota
10_25_DAC_R1_paired	2.02	Root; d__Bacteria; p__Acidobacteriota
10_25_DAC_R1_paired	7.6	Root; d__Bacteria; p__Actinomycetota
10_25_DAC_R1_paired	4.93	Root; d__Bacteria; p__Planctomycetota
10_25_DAC_R1_paired	0.58	Root; d__Bacteria; p__Zhuqueibacterota
10_25_DAC_R1_paired	1.23	Root; d__Bacteria; p__Verrucomicrobiota
10_25_DAC_R1_paired	4.7	Root; d__Bacteria; p__Bacillota
10_25_DAC_R1_paired	0.82	Root; d__Bacteria; p__Bacteroidota_A
10_25_DAC_R1_paired	3.27	Root; d__Bacteria; p__Patescibacteriota
10_25_DAC_R1_paired	1.16	Root; d__Bacteria; p__Chloroflexota
10_25_DAC_R1_paired	4.15	Root; d__Bacteria; p__Myxococcota
10_25_DAC_R1_paired	0.38	Root; d__Bacteria; p__Gemmatimonadota
10_25_DAC_R1_paired	0.11	Root; d__Bacteria; p__Campylobacterota
10_25_DAC_R1_paired	1.02	Root; d__Bacteria; p__Bdellovibrionota
10_25_DAC_R1_paired	0.58	Root; d__Bacteria; p__CSSED10-310
10_25_DAC_R1_paired	0.65	Root; d__Bacteria; p__Omnitrophota
10_25_DAC_R1_paired	1.69	Root; d__Bacteria; p__Spirochaetota
10_25_DAC_R1_paired	0.7	Root; d__Bacteria; p__Nitrospirota
10_25_DAC_R1_paired	0.62	Root; d__Bacteria; p__Marinisomatota
10_25_DAC_R1_paired	1.43	Root; d__Bacteria; p__Armatimonadota
10_25_DAC_R1_paired	0.28	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_DAC_R1_paired	0.43	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_DAC_R1_paired	0.45	Root; d__Bacteria; p__Latescibacterota
10_25_DAC_R1_paired	0.51	Root; d__Bacteria; p__Nitrospinota
10_25_DAC_R1_paired	0.68	Root; d__Bacteria; p__WOR-3
10_25_DAC_R1_paired	0.29	Root; d__Bacteria; p__Elusimicrobiota
10_25_DAC_R1_paired	0.45	Root; d__Bacteria; p__Fermentibacterota
10_25_DAC_R1_paired	0.13	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_DAC_R1_paired	0.46	Root; d__Bacteria; p__Margulisbacteria
10_25_DAC_R1_paired	0.64	Root; d__Bacteria; p__Muiribacteriota
10_25_DAC_R1_paired	0.32	Root; d__Bacteria; p__Fibrobacterota
10_25_DAC_R1_paired	0.28	Root; d__Bacteria; p__Electryoneota
10_25_DAC_R1_paired	2.86	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_DAC_R1_paired	0.8	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_DAC_R1_paired	0.06	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
10_25_DAC_R1_paired	0.98	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_DAC_R1_paired	1.01	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
10_25_DAC_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
10_25_DAC_R1_paired	0.53	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
10_25_DAC_R1_paired	0.46	Root; d__Archaea; p__Halobacteriota; c__Halobacteria
10_25_DAC_R1_paired	0.25	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
10_25_DAC_R1_paired	1.41	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_DAC_R1_paired	0.27	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
10_25_DAC_R1_paired	0.31	Root; d__Archaea; p__Thermoplasmatota; c__E2
10_25_DAC_R1_paired	2.36	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_DAC_R1_paired	0.37	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
10_25_DAC_R1_paired	0.51	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
10_25_DAC_R1_paired	2.54	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_DAC_R1_paired	0.39	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
10_25_DAC_R1_paired	24.16	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_DAC_R1_paired	55.95	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_DAC_R1_paired	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Zetaproteobacteria
10_25_DAC_R1_paired	1.48	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
10_25_DAC_R1_paired	1.75	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
10_25_DAC_R1_paired	0.28	Root; d__Bacteria; p__Cyanobacteriota; c__Sericytochromatia
10_25_DAC_R1_paired	0.5	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
10_25_DAC_R1_paired	0.87	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
10_25_DAC_R1_paired	0.73	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
10_25_DAC_R1_paired	0.29	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
10_25_DAC_R1_paired	0.34	Root; d__Bacteria; p__Desulfobacterota; c__BSN033
10_25_DAC_R1_paired	0.29	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
10_25_DAC_R1_paired	0.4	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
10_25_DAC_R1_paired	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
10_25_DAC_R1_paired	1.69	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_DAC_R1_paired	3.35	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_DAC_R1_paired	1.46	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_DAC_R1_paired	1.01	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_DAC_R1_paired	1.63	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
10_25_DAC_R1_paired	0.59	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
10_25_DAC_R1_paired	0.35	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
10_25_DAC_R1_paired	0.86	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_DAC_R1_paired	0.87	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_DAC_R1_paired	0.49	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_DAC_R1_paired	4.86	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_DAC_R1_paired	2.81	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_DAC_R1_paired	0.18	Root; d__Bacteria; p__Actinomycetota; c__Humimicrobiia
10_25_DAC_R1_paired	0.51	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_DAC_R1_paired	2.65	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
10_25_DAC_R1_paired	2.06	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
10_25_DAC_R1_paired	2.19	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
10_25_DAC_R1_paired	0.71	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
10_25_DAC_R1_paired	0.37	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
10_25_DAC_R1_paired	0.53	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
10_25_DAC_R1_paired	0.37	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
10_25_DAC_R1_paired	0.74	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
10_25_DAC_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__J058
10_25_DAC_R1_paired	1.21	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
10_25_DAC_R1_paired	2.23	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
10_25_DAC_R1_paired	7.85	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
10_25_DAC_R1_paired	0.64	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
10_25_DAC_R1_paired	5.34	Root; d__Bacteria; p__Bacillota; c__Clostridia
10_25_DAC_R1_paired	7.05	Root; d__Bacteria; p__Bacillota; c__Bacilli
10_25_DAC_R1_paired	0.4	Root; d__Bacteria; p__Bacillota; c__Dehalobacteriia
10_25_DAC_R1_paired	0.87	Root; d__Bacteria; p__Bacillota; c__Limnochordia
10_25_DAC_R1_paired	0.17	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
10_25_DAC_R1_paired	0.17	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
10_25_DAC_R1_paired	0.36	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
10_25_DAC_R1_paired	2.64	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
10_25_DAC_R1_paired	4.64	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
10_25_DAC_R1_paired	7.08	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
10_25_DAC_R1_paired	3.78	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
10_25_DAC_R1_paired	0.47	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
