sample	coverage	taxonomy
10_25_TCR_R1_paired	16.53	Root; d__Archaea
10_25_TCR_R1_paired	28.05	Root; d__Bacteria
10_25_TCR_R1_paired	3.49	Root; d__Archaea; p__Thermoproteota
10_25_TCR_R1_paired	0.9	Root; d__Archaea; p__Halobacteriota
10_25_TCR_R1_paired	1.08	Root; d__Archaea; p__Asgardarchaeota
10_25_TCR_R1_paired	1.62	Root; d__Archaea; p__Thermoplasmatota
10_25_TCR_R1_paired	0.28	Root; d__Archaea; p__Methanobacteriota
10_25_TCR_R1_paired	7.97	Root; d__Bacteria; p__Actinomycetota
10_25_TCR_R1_paired	5.26	Root; d__Bacteria; p__Acidobacteriota
10_25_TCR_R1_paired	0.46	Root; d__Bacteria; p__Gemmatimonadota
10_25_TCR_R1_paired	2.35	Root; d__Bacteria; p__Chloroflexota
10_25_TCR_R1_paired	4.78	Root; d__Bacteria; p__Planctomycetota
10_25_TCR_R1_paired	0.85	Root; d__Bacteria; p__Verrucomicrobiota
10_25_TCR_R1_paired	2.11	Root; d__Bacteria; p__Bacteroidota_A
10_25_TCR_R1_paired	6.9	Root; d__Bacteria; p__Desulfobacterota
10_25_TCR_R1_paired	4.95	Root; d__Bacteria; p__Bacillota
10_25_TCR_R1_paired	3.85	Root; d__Bacteria; p__Patescibacteriota
10_25_TCR_R1_paired	0.53	Root; d__Bacteria; p__Marinisomatota
10_25_TCR_R1_paired	0.5	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_TCR_R1_paired	0.95	Root; d__Bacteria; p__Nitrospirota
10_25_TCR_R1_paired	2.81	Root; d__Bacteria; p__Myxococcota
10_25_TCR_R1_paired	1.36	Root; d__Bacteria; p__Armatimonadota
10_25_TCR_R1_paired	0.62	Root; d__Bacteria; p__Cyanobacteriota
10_25_TCR_R1_paired	0.14	Root; d__Bacteria; p__CSSED10-310
10_25_TCR_R1_paired	0.06	Root; d__Bacteria; p__Fermentibacterota
10_25_TCR_R1_paired	1.29	Root; d__Bacteria; p__Spirochaetota
10_25_TCR_R1_paired	0.2	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_TCR_R1_paired	0.06	Root; d__Bacteria; p__Elusimicrobiota
10_25_TCR_R1_paired	0.59	Root; d__Bacteria; p__Zhuqueibacterota
10_25_TCR_R1_paired	1.21	Root; d__Bacteria; p__Bdellovibrionota
10_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Nitrospinota
10_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Electryoneota
10_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Muiribacteriota
10_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Latescibacterota
10_25_TCR_R1_paired	1.87	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_TCR_R1_paired	0.59	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_TCR_R1_paired	0.88	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_TCR_R1_paired	0.37	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
10_25_TCR_R1_paired	0.85	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_TCR_R1_paired	0.31	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
10_25_TCR_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
10_25_TCR_R1_paired	0.53	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
10_25_TCR_R1_paired	0.37	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
10_25_TCR_R1_paired	2.07	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_TCR_R1_paired	1.9	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_TCR_R1_paired	0.37	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
10_25_TCR_R1_paired	24.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_TCR_R1_paired	49.98	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_TCR_R1_paired	1.34	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_TCR_R1_paired	0.29	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_TCR_R1_paired	5.18	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_TCR_R1_paired	1.64	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_TCR_R1_paired	0.97	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_TCR_R1_paired	1.66	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_TCR_R1_paired	0.12	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
10_25_TCR_R1_paired	2.07	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_TCR_R1_paired	0.48	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_TCR_R1_paired	0.62	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
10_25_TCR_R1_paired	0.69	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_TCR_R1_paired	0.41	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_TCR_R1_paired	3.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
