sample	coverage	taxonomy
12_25_FSB_R1_paired	17.06	Root; d__Archaea
12_25_FSB_R1_paired	40.84	Root; d__Bacteria
12_25_FSB_R1_paired	4.03	Root; d__Archaea; p__Thermoproteota
12_25_FSB_R1_paired	2.93	Root; d__Archaea; p__Asgardarchaeota
12_25_FSB_R1_paired	1.1	Root; d__Archaea; p__Halobacteriota
12_25_FSB_R1_paired	4.21	Root; d__Archaea; p__Thermoplasmatota
12_25_FSB_R1_paired	0.61	Root; d__Archaea; p__Methanobacteriota
12_25_FSB_R1_paired	1.91	Root; d__Bacteria; p__Pseudomonadota
12_25_FSB_R1_paired	0.42	Root; d__Bacteria; p__Omnitrophota
12_25_FSB_R1_paired	11.16	Root; d__Bacteria; p__Desulfobacterota
12_25_FSB_R1_paired	7.15	Root; d__Bacteria; p__Planctomycetota
12_25_FSB_R1_paired	5.6	Root; d__Bacteria; p__Bacillota
12_25_FSB_R1_paired	3.2	Root; d__Bacteria; p__Chloroflexota
12_25_FSB_R1_paired	7.44	Root; d__Bacteria; p__Actinomycetota
12_25_FSB_R1_paired	2.19	Root; d__Bacteria; p__Acidobacteriota
12_25_FSB_R1_paired	0.58	Root; d__Bacteria; p__Gemmatimonadota
12_25_FSB_R1_paired	5.5	Root; d__Bacteria; p__Patescibacteriota
12_25_FSB_R1_paired	2.68	Root; d__Bacteria; p__Bacteroidota_A
12_25_FSB_R1_paired	3.59	Root; d__Bacteria; p__Myxococcota
12_25_FSB_R1_paired	0.93	Root; d__Bacteria; p__Latescibacterota
12_25_FSB_R1_paired	3.25	Root; d__Bacteria; p__Spirochaetota
12_25_FSB_R1_paired	0.6	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_FSB_R1_paired	1.19	Root; d__Bacteria; p__Bdellovibrionota
12_25_FSB_R1_paired	1.08	Root; d__Bacteria; p__Nitrospirota
12_25_FSB_R1_paired	0.69	Root; d__Bacteria; p__Elusimicrobiota
12_25_FSB_R1_paired	0.23	Root; d__Bacteria; p__Fermentibacterota
12_25_FSB_R1_paired	0.47	Root; d__Bacteria; p__Bdellovibrionota_G
12_25_FSB_R1_paired	0.69	Root; d__Bacteria; p__TA06_A
12_25_FSB_R1_paired	1.0	Root; d__Bacteria; p__Marinisomatota
12_25_FSB_R1_paired	0.75	Root; d__Bacteria; p__Electryoneota
12_25_FSB_R1_paired	0.98	Root; d__Bacteria; p__Armatimonadota
12_25_FSB_R1_paired	0.79	Root; d__Bacteria; p__Zhuqueibacterota
12_25_FSB_R1_paired	0.52	Root; d__Bacteria; p__Fibrobacterota
12_25_FSB_R1_paired	0.84	Root; d__Bacteria; p__WOR-3
12_25_FSB_R1_paired	0.46	Root; d__Bacteria; p__Cyanobacteriota
12_25_FSB_R1_paired	0.79	Root; d__Bacteria; p__Nitrospinota
12_25_FSB_R1_paired	0.51	Root; d__Bacteria; p__Margulisbacteria
12_25_FSB_R1_paired	0.46	Root; d__Bacteria; p__Muiribacteriota
12_25_FSB_R1_paired	0.3	Root; d__Bacteria; p__Vulcanimicrobiota
12_25_FSB_R1_paired	0.37	Root; d__Bacteria; p__CSSED10-310
12_25_FSB_R1_paired	0.74	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
12_25_FSB_R1_paired	1.16	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
12_25_FSB_R1_paired	0.73	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
12_25_FSB_R1_paired	0.07	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
12_25_FSB_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
12_25_FSB_R1_paired	1.01	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
12_25_FSB_R1_paired	4.51	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
12_25_FSB_R1_paired	0.14	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
12_25_FSB_R1_paired	0.26	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
12_25_FSB_R1_paired	0.11	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
12_25_FSB_R1_paired	2.86	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
12_25_FSB_R1_paired	0.27	Root; d__Archaea; p__Thermoplasmatota; c__E2
12_25_FSB_R1_paired	0.32	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26
12_25_FSB_R1_paired	0.4	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
12_25_FSB_R1_paired	4.34	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
12_25_FSB_R1_paired	0.47	Root; d__Archaea; p__B1Sed10-29; c__B1Sed10-29
12_25_FSB_R1_paired	0.37	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
12_25_FSB_R1_paired	1.56	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
12_25_FSB_R1_paired	54.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
12_25_FSB_R1_paired	14.64	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
12_25_FSB_R1_paired	6.46	Root; d__Bacteria; p__Omnitrophota; c__Koll11
12_25_FSB_R1_paired	0.69	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
12_25_FSB_R1_paired	0.3	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
12_25_FSB_R1_paired	0.78	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
12_25_FSB_R1_paired	0.97	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
12_25_FSB_R1_paired	0.42	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
12_25_FSB_R1_paired	0.15	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
12_25_FSB_R1_paired	0.39	Root; d__Bacteria; p__Desulfobacterota; c__BSN033
12_25_FSB_R1_paired	0.13	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
12_25_FSB_R1_paired	0.46	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
12_25_FSB_R1_paired	8.79	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
12_25_FSB_R1_paired	1.2	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
