sample	coverage	taxonomy
12_25_FSP_R1_paired	20.68	Root; d__Archaea
12_25_FSP_R1_paired	24.22	Root; d__Bacteria
12_25_FSP_R1_paired	4.41	Root; d__Archaea; p__Thermoproteota
12_25_FSP_R1_paired	1.36	Root; d__Archaea; p__Asgardarchaeota
12_25_FSP_R1_paired	1.25	Root; d__Archaea; p__Halobacteriota
12_25_FSP_R1_paired	3.19	Root; d__Archaea; p__Thermoplasmatota
12_25_FSP_R1_paired	0.68	Root; d__Archaea; p__Methanobacteriota
12_25_FSP_R1_paired	0.82	Root; d__Bacteria; p__Pseudomonadota
12_25_FSP_R1_paired	1.36	Root; d__Bacteria; p__Bacteroidota_A
12_25_FSP_R1_paired	0.54	Root; d__Bacteria; p__Verrucomicrobiota
12_25_FSP_R1_paired	5.95	Root; d__Bacteria; p__Desulfobacterota
12_25_FSP_R1_paired	4.57	Root; d__Bacteria; p__Actinomycetota
12_25_FSP_R1_paired	6.49	Root; d__Bacteria; p__Planctomycetota
12_25_FSP_R1_paired	5.37	Root; d__Bacteria; p__Bacillota
12_25_FSP_R1_paired	2.65	Root; d__Bacteria; p__Bdellovibrionota
12_25_FSP_R1_paired	0.21	Root; d__Bacteria; p__Gemmatimonadota
12_25_FSP_R1_paired	5.23	Root; d__Bacteria; p__Acidobacteriota
12_25_FSP_R1_paired	3.41	Root; d__Bacteria; p__Chloroflexota
12_25_FSP_R1_paired	4.14	Root; d__Bacteria; p__Myxococcota
12_25_FSP_R1_paired	4.28	Root; d__Bacteria; p__Patescibacteriota
12_25_FSP_R1_paired	0.11	Root; d__Bacteria; p__Omnitrophota
12_25_FSP_R1_paired	0.57	Root; d__Bacteria; p__Cyanobacteriota
12_25_FSP_R1_paired	1.89	Root; d__Bacteria; p__Armatimonadota
12_25_FSP_R1_paired	1.54	Root; d__Bacteria; p__Spirochaetota
12_25_FSP_R1_paired	0.39	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_FSP_R1_paired	0.44	Root; d__Bacteria; p__Campylobacterota
12_25_FSP_R1_paired	0.69	Root; d__Bacteria; p__Nitrospirota
12_25_FSP_R1_paired	0.17	Root; d__Bacteria; p__Vulcanimicrobiota
