sample	coverage	taxonomy
10_25_MPT_R1_paired	0.17	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
10_25_MPT_R1_paired	1.98	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_MPT_R1_paired	1.26	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_MPT_R1_paired	0.71	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_MPT_R1_paired	0.44	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_MPT_R1_paired	0.63	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
10_25_MPT_R1_paired	0.76	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_MPT_R1_paired	1.92	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_MPT_R1_paired	2.87	Root; d__Bacteria; p__Myxococcota; c__Polyangia
10_25_MPT_R1_paired	0.48	Root; d__Bacteria; p__Myxococcota; c__UBA796
10_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
10_25_MPT_R1_paired	0.52	Root; d__Bacteria; p__Myxococcota; c__UBA9042
10_25_MPT_R1_paired	1.03	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
10_25_MPT_R1_paired	0.2	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
10_25_MPT_R1_paired	4.09	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
10_25_MPT_R1_paired	1.29	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
10_25_MPT_R1_paired	0.9	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
10_25_MPT_R1_paired	1.35	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
10_25_MPT_R1_paired	0.36	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
10_25_MPT_R1_paired	0.53	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
10_25_MPT_R1_paired	0.45	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
10_25_MPT_R1_paired	0.29	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
10_25_MPT_R1_paired	5.19	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
10_25_MPT_R1_paired	1.44	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
10_25_MPT_R1_paired	0.51	Root; d__Bacteria; p__Margulisbacteria; c__Marinamargulisbacteria
10_25_MPT_R1_paired	1.63	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
10_25_MPT_R1_paired	2.22	Root; d__Bacteria; p__Omnitrophota; c__Koll11
10_25_MPT_R1_paired	0.3	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
10_25_MPT_R1_paired	1.87	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
10_25_MPT_R1_paired	4.52	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
10_25_MPT_R1_paired	0.92	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
10_25_MPT_R1_paired	0.76	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
10_25_MPT_R1_paired	0.12	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
10_25_MPT_R1_paired	1.89	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
10_25_MPT_R1_paired	0.85	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
10_25_MPT_R1_paired	0.13	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
10_25_MPT_R1_paired	2.94	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
10_25_MPT_R1_paired	0.66	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
10_25_MPT_R1_paired	0.34	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
10_25_MPT_R1_paired	0.26	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
10_25_MPT_R1_paired	0.07	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
10_25_MPT_R1_paired	0.78	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
