sample	coverage	taxonomy
12_25_MPT_R1_paired	17.8	Root; d__Archaea
12_25_MPT_R1_paired	23.99	Root; d__Bacteria
12_25_MPT_R1_paired	6.89	Root; d__Archaea; p__Thermoproteota
12_25_MPT_R1_paired	1.28	Root; d__Archaea; p__Asgardarchaeota
12_25_MPT_R1_paired	2.65	Root; d__Archaea; p__Thermoplasmatota
12_25_MPT_R1_paired	1.14	Root; d__Archaea; p__Halobacteriota
12_25_MPT_R1_paired	0.42	Root; d__Archaea; p__Methanobacteriota
12_25_MPT_R1_paired	5.24	Root; d__Bacteria; p__Planctomycetota
12_25_MPT_R1_paired	3.05	Root; d__Bacteria; p__Pseudomonadota
12_25_MPT_R1_paired	8.99	Root; d__Bacteria; p__Actinomycetota
12_25_MPT_R1_paired	4.43	Root; d__Bacteria; p__Myxococcota
12_25_MPT_R1_paired	8.56	Root; d__Bacteria; p__Desulfobacterota
12_25_MPT_R1_paired	1.41	Root; d__Bacteria; p__Verrucomicrobiota
12_25_MPT_R1_paired	6.71	Root; d__Bacteria; p__Bacillota
12_25_MPT_R1_paired	5.21	Root; d__Bacteria; p__Acidobacteriota
12_25_MPT_R1_paired	2.03	Root; d__Bacteria; p__Bacteroidota_A
12_25_MPT_R1_paired	0.13	Root; d__Bacteria; p__Gemmatimonadota
12_25_MPT_R1_paired	6.21	Root; d__Bacteria; p__Patescibacteriota
12_25_MPT_R1_paired	2.18	Root; d__Bacteria; p__Chloroflexota
12_25_MPT_R1_paired	0.45	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Margulisbacteria
12_25_MPT_R1_paired	1.1	Root; d__Bacteria; p__Nitrospirota
12_25_MPT_R1_paired	2.24	Root; d__Bacteria; p__Bdellovibrionota
12_25_MPT_R1_paired	0.9	Root; d__Bacteria; p__Armatimonadota
12_25_MPT_R1_paired	0.15	Root; d__Bacteria; p__Campylobacterota
12_25_MPT_R1_paired	1.03	Root; d__Bacteria; p__Spirochaetota
12_25_MPT_R1_paired	0.58	Root; d__Bacteria; p__Omnitrophota
12_25_MPT_R1_paired	0.3	Root; d__Bacteria; p__Elusimicrobiota
12_25_MPT_R1_paired	0.79	Root; d__Bacteria; p__Marinisomatota
12_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Nitrospinota
12_25_MPT_R1_paired	0.28	Root; d__Bacteria; p__Vulcanimicrobiota
12_25_MPT_R1_paired	0.57	Root; d__Bacteria; p__Bdellovibrionota_G
12_25_MPT_R1_paired	0.74	Root; d__Bacteria; p__Zhuqueibacterota
12_25_MPT_R1_paired	0.5	Root; d__Bacteria; p__Cyanobacteriota
12_25_MPT_R1_paired	0.68	Root; d__Bacteria; p__Fibrobacterota
12_25_MPT_R1_paired	0.06	Root; d__Bacteria; p__Latescibacterota
12_25_MPT_R1_paired	0.24	Root; d__Bacteria; p__Electryoneota
