sample	coverage	taxonomy
11_25_PPT_R1_paired	13.18	Root; d__Archaea
11_25_PPT_R1_paired	36.35	Root; d__Bacteria
11_25_PPT_R1_paired	2.92	Root; d__Archaea; p__Asgardarchaeota
11_25_PPT_R1_paired	2.55	Root; d__Archaea; p__Thermoproteota
11_25_PPT_R1_paired	2.29	Root; d__Archaea; p__Thermoplasmatota
11_25_PPT_R1_paired	0.85	Root; d__Archaea; p__Halobacteriota
11_25_PPT_R1_paired	0.47	Root; d__Archaea; p__Methanobacteriota
11_25_PPT_R1_paired	3.87	Root; d__Bacteria; p__Actinomycetota
11_25_PPT_R1_paired	0.45	Root; d__Bacteria; p__Pseudomonadota
11_25_PPT_R1_paired	1.14	Root; d__Bacteria; p__Chloroflexota
11_25_PPT_R1_paired	3.92	Root; d__Bacteria; p__Desulfobacterota
11_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Gemmatimonadota
11_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Nitrospinota
11_25_PPT_R1_paired	6.5	Root; d__Bacteria; p__Planctomycetota
11_25_PPT_R1_paired	2.54	Root; d__Bacteria; p__Acidobacteriota
11_25_PPT_R1_paired	5.52	Root; d__Bacteria; p__Patescibacteriota
11_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Omnitrophota
11_25_PPT_R1_paired	3.13	Root; d__Bacteria; p__Myxococcota
11_25_PPT_R1_paired	3.21	Root; d__Bacteria; p__Bacteroidota_A
11_25_PPT_R1_paired	4.35	Root; d__Bacteria; p__Bacillota
11_25_PPT_R1_paired	2.4	Root; d__Bacteria; p__Spirochaetota
11_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Marinisomatota
11_25_PPT_R1_paired	0.8	Root; d__Bacteria; p__Armatimonadota
11_25_PPT_R1_paired	1.3	Root; d__Bacteria; p__Verrucomicrobiota
11_25_PPT_R1_paired	1.02	Root; d__Bacteria; p__Margulisbacteria
11_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Fermentibacterota
11_25_PPT_R1_paired	0.63	Root; d__Bacteria; p__Cyanobacteriota
11_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Latescibacterota
11_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Bdellovibrionota_G
11_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
11_25_PPT_R1_paired	1.1	Root; d__Bacteria; p__Bdellovibrionota
11_25_PPT_R1_paired	0.82	Root; d__Bacteria; p__Zhuqueibacterota
11_25_PPT_R1_paired	0.41	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__WOR-3
11_25_PPT_R1_paired	0.47	Root; d__Bacteria; p__Vulcanimicrobiota
11_25_PPT_R1_paired	0.59	Root; d__Bacteria; p__CSSED10-310
11_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Fibrobacterota
11_25_PPT_R1_paired	0.42	Root; d__Bacteria; p__Nitrospirota
11_25_PPT_R1_paired	0.66	Root; d__Bacteria; p__Electryoneota
11_25_PPT_R1_paired	0.37	Root; d__Bacteria; p__Elusimicrobiota
11_25_PPT_R1_paired	0.36	Root; d__Bacteria; p__Poribacteria
11_25_PPT_R1_paired	2.51	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
11_25_PPT_R1_paired	0.16	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
11_25_PPT_R1_paired	1.07	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
11_25_PPT_R1_paired	0.63	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
11_25_PPT_R1_paired	0.64	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
11_25_PPT_R1_paired	1.03	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
11_25_PPT_R1_paired	0.31	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
11_25_PPT_R1_paired	2.05	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
11_25_PPT_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2
11_25_PPT_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
11_25_PPT_R1_paired	0.37	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
11_25_PPT_R1_paired	0.35	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
11_25_PPT_R1_paired	0.43	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
11_25_PPT_R1_paired	0.43	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
11_25_PPT_R1_paired	1.04	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
11_25_PPT_R1_paired	2.32	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
11_25_PPT_R1_paired	0.76	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
11_25_PPT_R1_paired	4.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
11_25_PPT_R1_paired	1.54	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
11_25_PPT_R1_paired	0.31	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
11_25_PPT_R1_paired	41.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
11_25_PPT_R1_paired	11.98	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
11_25_PPT_R1_paired	3.1	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
11_25_PPT_R1_paired	8.15	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
11_25_PPT_R1_paired	0.21	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
11_25_PPT_R1_paired	2.88	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
11_25_PPT_R1_paired	0.59	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
11_25_PPT_R1_paired	0.53	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
11_25_PPT_R1_paired	0.66	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
11_25_PPT_R1_paired	0.32	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
11_25_PPT_R1_paired	0.2	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
11_25_PPT_R1_paired	0.93	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
11_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
11_25_PPT_R1_paired	0.81	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
11_25_PPT_R1_paired	1.49	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
11_25_PPT_R1_paired	4.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
11_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
11_25_PPT_R1_paired	0.6	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
11_25_PPT_R1_paired	1.43	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
11_25_PPT_R1_paired	0.3	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
11_25_PPT_R1_paired	0.71	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
11_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Planctomycetota; c__J058
11_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
11_25_PPT_R1_paired	0.58	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
11_25_PPT_R1_paired	1.06	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
11_25_PPT_R1_paired	1.17	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
11_25_PPT_R1_paired	0.6	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
11_25_PPT_R1_paired	1.31	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
11_25_PPT_R1_paired	0.5	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
