sample	coverage	taxonomy
01_26_LLN_R1_paired	8.96	Root; d__Archaea
01_26_LLN_R1_paired	47.94	Root; d__Bacteria
01_26_LLN_R1_paired	2.64	Root; d__Archaea; p__Thermoproteota
01_26_LLN_R1_paired	1.63	Root; d__Archaea; p__Asgardarchaeota
01_26_LLN_R1_paired	0.43	Root; d__Archaea; p__Halobacteriota
01_26_LLN_R1_paired	3.13	Root; d__Archaea; p__Thermoplasmatota
01_26_LLN_R1_paired	0.28	Root; d__Archaea; p__Methanobacteriota
01_26_LLN_R1_paired	7.26	Root; d__Bacteria; p__Desulfobacterota
01_26_LLN_R1_paired	0.87	Root; d__Bacteria; p__Verrucomicrobiota
01_26_LLN_R1_paired	0.23	Root; d__Bacteria; p__Gemmatimonadota
01_26_LLN_R1_paired	1.79	Root; d__Bacteria; p__Pseudomonadota
01_26_LLN_R1_paired	1.89	Root; d__Bacteria; p__Chloroflexota
01_26_LLN_R1_paired	4.5	Root; d__Bacteria; p__Patescibacteriota
01_26_LLN_R1_paired	1.57	Root; d__Bacteria; p__Bdellovibrionota
01_26_LLN_R1_paired	6.65	Root; d__Bacteria; p__Planctomycetota
01_26_LLN_R1_paired	2.59	Root; d__Bacteria; p__Bacteroidota_A
01_26_LLN_R1_paired	0.74	Root; d__Bacteria; p__Cyanobacteriota
01_26_LLN_R1_paired	4.37	Root; d__Bacteria; p__Myxococcota
01_26_LLN_R1_paired	6.6	Root; d__Bacteria; p__Actinomycetota
01_26_LLN_R1_paired	6.37	Root; d__Bacteria; p__Acidobacteriota
01_26_LLN_R1_paired	1.7	Root; d__Bacteria; p__Spirochaetota
01_26_LLN_R1_paired	6.07	Root; d__Bacteria; p__Bacillota
01_26_LLN_R1_paired	0.63	Root; d__Bacteria; p__Nitrospirota
01_26_LLN_R1_paired	0.3	Root; d__Bacteria; p__Bdellovibrionota_B
01_26_LLN_R1_paired	0.49	Root; d__Bacteria; p__Zhuqueibacterota
01_26_LLN_R1_paired	0.96	Root; d__Bacteria; p__Marinisomatota
01_26_LLN_R1_paired	0.21	Root; d__Bacteria; p__Omnitrophota
01_26_LLN_R1_paired	1.31	Root; d__Bacteria; p__Armatimonadota
01_26_LLN_R1_paired	0.25	Root; d__Bacteria; p__Campylobacterota
01_26_LLN_R1_paired	0.74	Root; d__Bacteria; p__Margulisbacteria
01_26_LLN_R1_paired	0.45	Root; d__Bacteria; p__Latescibacterota
01_26_LLN_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_G
01_26_LLN_R1_paired	0.62	Root; d__Bacteria; p__Elusimicrobiota
01_26_LLN_R1_paired	0.34	Root; d__Bacteria; p__Electryoneota
01_26_LLN_R1_paired	0.17	Root; d__Bacteria; p__Fibrobacterota
01_26_LLN_R1_paired	0.23	Root; d__Bacteria; p__Vulcanimicrobiota
01_26_LLN_R1_paired	0.57	Root; d__Bacteria; p__Muiribacteriota
01_26_LLN_R1_paired	0.62	Root; d__Bacteria; p__WOR-3
01_26_LLN_R1_paired	0.64	Root; d__Bacteria; p__CSSED10-310
01_26_LLN_R1_paired	0.4	Root; d__Bacteria; p__Nitrospinota
01_26_LLN_R1_paired	2.15	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
01_26_LLN_R1_paired	1.61	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
01_26_LLN_R1_paired	0.45	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
01_26_LLN_R1_paired	0.37	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
01_26_LLN_R1_paired	0.48	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
01_26_LLN_R1_paired	1.85	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
01_26_LLN_R1_paired	1.87	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
01_26_LLN_R1_paired	0.12	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
01_26_LLN_R1_paired	0.21	Root; d__Archaea; p__Thermoplasmatota; c__E2
01_26_LLN_R1_paired	0.81	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
01_26_LLN_R1_paired	0.3	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
01_26_LLN_R1_paired	0.6	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
