sample	coverage	taxonomy
01_26_DAC_R1_paired	11.96	Root; d__Archaea
01_26_DAC_R1_paired	27.37	Root; d__Bacteria
01_26_DAC_R1_paired	1.59	Root; d__Archaea; p__Thermoproteota
01_26_DAC_R1_paired	2.45	Root; d__Archaea; p__Thermoplasmatota
01_26_DAC_R1_paired	0.92	Root; d__Archaea; p__Halobacteriota
01_26_DAC_R1_paired	1.56	Root; d__Archaea; p__Asgardarchaeota
01_26_DAC_R1_paired	0.56	Root; d__Archaea; p__Methanobacteriota
01_26_DAC_R1_paired	6.01	Root; d__Bacteria; p__Actinomycetota
01_26_DAC_R1_paired	4.94	Root; d__Bacteria; p__Planctomycetota
01_26_DAC_R1_paired	3.23	Root; d__Bacteria; p__Acidobacteriota
01_26_DAC_R1_paired	2.67	Root; d__Bacteria; p__Chloroflexota
01_26_DAC_R1_paired	4.03	Root; d__Bacteria; p__Pseudomonadota
01_26_DAC_R1_paired	2.97	Root; d__Bacteria; p__Myxococcota
01_26_DAC_R1_paired	0.35	Root; d__Bacteria; p__Gemmatimonadota
01_26_DAC_R1_paired	6.4	Root; d__Bacteria; p__Desulfobacterota
01_26_DAC_R1_paired	0.89	Root; d__Bacteria; p__Verrucomicrobiota
01_26_DAC_R1_paired	0.67	Root; d__Bacteria; p__Nitrospirota
01_26_DAC_R1_paired	1.12	Root; d__Bacteria; p__Spirochaetota
01_26_DAC_R1_paired	0.4	Root; d__Bacteria; p__Zhuqueibacterota
01_26_DAC_R1_paired	4.59	Root; d__Bacteria; p__Patescibacteriota
01_26_DAC_R1_paired	4.9	Root; d__Bacteria; p__Bacillota
01_26_DAC_R1_paired	0.29	Root; d__Bacteria; p__Cyanobacteriota
01_26_DAC_R1_paired	0.57	Root; d__Bacteria; p__Elusimicrobiota
01_26_DAC_R1_paired	1.64	Root; d__Bacteria; p__Bacteroidota_A
01_26_DAC_R1_paired	1.48	Root; d__Bacteria; p__Armatimonadota
01_26_DAC_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_B
01_26_DAC_R1_paired	0.02	Root; d__Bacteria; p__Omnitrophota
01_26_DAC_R1_paired	0.96	Root; d__Bacteria; p__Bdellovibrionota
01_26_DAC_R1_paired	0.01	Root; d__Bacteria; p__Campylobacterota
01_26_DAC_R1_paired	0.55	Root; d__Bacteria; p__Latescibacterota
