sample	coverage	taxonomy
10_25_FSP_R1_paired	12.89	Root; d__Archaea
10_25_FSP_R1_paired	29.06	Root; d__Bacteria
10_25_FSP_R1_paired	4.0	Root; d__Archaea; p__Thermoproteota
10_25_FSP_R1_paired	0.84	Root; d__Archaea; p__Halobacteriota
10_25_FSP_R1_paired	1.46	Root; d__Archaea; p__Thermoplasmatota
10_25_FSP_R1_paired	1.23	Root; d__Archaea; p__Asgardarchaeota
10_25_FSP_R1_paired	9.37	Root; d__Bacteria; p__Actinomycetota
10_25_FSP_R1_paired	2.03	Root; d__Bacteria; p__Bacteroidota_A
10_25_FSP_R1_paired	3.61	Root; d__Bacteria; p__Chloroflexota
10_25_FSP_R1_paired	4.66	Root; d__Bacteria; p__Planctomycetota
10_25_FSP_R1_paired	3.89	Root; d__Bacteria; p__Myxococcota
10_25_FSP_R1_paired	3.42	Root; d__Bacteria; p__Acidobacteriota
10_25_FSP_R1_paired	0.57	Root; d__Bacteria; p__Verrucomicrobiota
10_25_FSP_R1_paired	0.06	Root; d__Bacteria; p__Gemmatimonadota
10_25_FSP_R1_paired	4.75	Root; d__Bacteria; p__Desulfobacterota
10_25_FSP_R1_paired	4.26	Root; d__Bacteria; p__Bacillota
10_25_FSP_R1_paired	0.51	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_FSP_R1_paired	0.22	Root; d__Bacteria; p__Nitrospirota
10_25_FSP_R1_paired	1.76	Root; d__Bacteria; p__Bdellovibrionota
10_25_FSP_R1_paired	3.7	Root; d__Bacteria; p__Patescibacteriota
10_25_FSP_R1_paired	1.02	Root; d__Bacteria; p__Armatimonadota
10_25_FSP_R1_paired	0.14	Root; d__Bacteria; p__Elusimicrobiota
10_25_FSP_R1_paired	0.3	Root; d__Bacteria; p__Omnitrophota
10_25_FSP_R1_paired	0.22	Root; d__Bacteria; p__Cyanobacteriota
10_25_FSP_R1_paired	0.19	Root; d__Bacteria; p__Zhuqueibacterota
10_25_FSP_R1_paired	0.17	Root; d__Bacteria; p__Latescibacterota
10_25_FSP_R1_paired	0.06	Root; d__Bacteria; p__Nitrospinota
10_25_FSP_R1_paired	1.14	Root; d__Bacteria; p__Spirochaetota
10_25_FSP_R1_paired	0.28	Root; d__Bacteria; p__Fibrobacterota
10_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_FSP_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
10_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Electryoneota
10_25_FSP_R1_paired	0.47	Root; d__Bacteria; p__Marinisomatota
10_25_FSP_R1_paired	0.38	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_FSP_R1_paired	0.43	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
10_25_FSP_R1_paired	0.98	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_FSP_R1_paired	2.27	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_FSP_R1_paired	0.58	Root; d__Archaea; p__Thermoplasmatota; c__E2
10_25_FSP_R1_paired	0.38	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
10_25_FSP_R1_paired	1.65	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_FSP_R1_paired	0.79	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_FSP_R1_paired	2.86	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_FSP_R1_paired	69.09	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_FSP_R1_paired	25.52	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_FSP_R1_paired	1.88	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_FSP_R1_paired	2.17	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
10_25_FSP_R1_paired	1.49	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_FSP_R1_paired	12.48	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Actinomycetota; c__Geothermincolia
10_25_FSP_R1_paired	0.36	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
